number,string,,number,string,number,number,number,number,number,number,number,string,cmd,cmd,cmd,cmd,cmd,cmd,cmd,number,number;num,number;num,number;num,number;num,number;num,number;num,number;num,number;num,string,number,number,number;num,number;num,,cmd,,cmd,cmd,,,,
1506,陈木归元,34,65,0,1,,,,1,62,99,all,,CheckTaskFinished(1505),,,,,,0,0,0,4413,1,5006,4413,0.02,1,,0,,0,99,60 ,AddExp(45600);AddNimbus(22800);AddMoney(6840),,,,,0,,
1507,金靡归元,34,65,0,1,,,,1,62,99,all,,CheckTaskFinished(1506),,,,,,0,0,0,4414,1,5009,4414,0.02,1,,0,,0,99,60 ,AddExp(45600);AddNimbus(22800);AddMoney(6840),,,,,0,,
1508,四象归位，万恶俱除,34,65,1,1,,,,1,62,99,all,,CheckTaskFinished(1507),,GetItemSpace >= 2,,,,0,5001,1,0,0,0,0,0,0,,0,,0,99,80 ,AddExp(60800);AddNimbus(30400);AddMoney(9120),"AddItemEx(4430,0,0,1)
AddItemEx(4431,0,0,1)",,,,0,,
1509,驱鬼除魔,34,62,0,1,,,,1,61,99,all,,,,,,,,0,4985;4986;4987,10;10;10,0,0,0,0,0,0,,0,,0,99,60 ,AddExp(43800);AddNimbus(21900);AddMoney(6660),,,,,0,,
1510,为我出头,34,61,0,1,,,,1,61,99,all,,,,,,,,0,4968;4969;4976,10;10;10,0,0,0,0,0,0,,0,,0,99,60 ,AddExp(43200);AddNimbus(21600);AddMoney(6480),,,,,0,,
1511,麝香月龙天地灵物,34,61,0,1,,,,1,61,99,all,,CheckTaskFinished(1462),,,,,,0,0,0,4367;4369,15;10,4973;4972,4367;4369,1;0.5,15;10,,0,,0,99,50 ,AddExp(36000);AddNimbus(18000);AddMoney(5400),,,,,0,,
1512,好友的问候,34,60,0,1,,,,1,61,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(10650);AddNimbus(5325);AddMoney(1620),,,,,0,,
1513,内心的恐惧,34,61,0,1,,,,1,61,99,all,,,,,,,,0,4970;4977,1;1,0,0,0,0,0,0,,0,,0,99,60 ,AddExp(43200);AddNimbus(21600);AddMoney(6480),,,,,0,,
1514,驱魔者的使命,34,64,0,1,,,,1,61,99,all,,,,,,,,0,4990;4991;4992;4994,10;10;10;10,0,0,0,0,0,0,,0,,0,99,60 ,AddExp(45000);AddNimbus(22500);AddMoney(6840),,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,恶鬼峡的动向,34,66,0,1,,,,1,65,99,all,,,,,,,,0,0,0,4581,15,5111,4581,1,15,,0,,0,99,25 ,AddExp(19250);AddNimbus(9625);AddMoney(2925),,,,,0,,
1516,失落的青螺宫,34,66,0,1,,,,1,65,99,all,,CheckTaskFinished(1515),,,,,,0,5062,20,0,0,0,0,0,0,,0,,0,99,50 ,AddExp(38500);AddNimbus(19250);AddMoney(5850),,,,,0,,
1517,钢筋铁骨,34,66,0,1,,,,1,65,99,all,,CheckTaskFinished(1516),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,25 ,AddExp(19250);AddNimbus(9625);AddMoney(2925),,,,,0,,
1518,破解之道,34,66,0,1,,,,1,65,99,all,,CheckTaskFinished(1517),,,,,,0,0,0,4582,10,5065,4582,0.5,10,,0,,0,99,50 ,AddExp(38500);AddNimbus(19250);AddMoney(5850),,,,,0,,
1519,胜之不武,34,66,0,1,,,,1,65,99,all,,CheckTaskFinished(1518),,,,,,0,5063,20,0,0,0,0,0,0,,0,,0,99,50 ,AddExp(38500);AddNimbus(19250);AddMoney(5850),,,,,0,,
1520,迦楼罗神力,34,66,0,1,,,,1,65,99,all,,CheckTaskFinished(1519),"AddItem(4583,1)",,,"RemoveItem(4583,1)","RemoveItem(4583,1)",0,0,0,0,0,0,0,0,0,,0,,4583,1,50 ,AddExp(38500);AddNimbus(19250);AddMoney(5850),,,,,0,,
1521,三魔落网,34,66,1,1,,,,1,65,99,all,,CheckTaskFinished(1520),,,,,,0,5101,1,0,0,0,0,0,0,,0,,0,99,60 ,AddExp(46200);AddNimbus(23100);AddMoney(7020),,,,"em;AddItemEx(318,0,1,1)
fm;AddItemEx(327,0,1,1)
bh;AddItemEx(336,0,1,1)
qc;AddItemEx(625,0,1,1)
xq;AddItemEx(703,0,1,1)",0,,
1522,道统传承的下落,34,66,0,1,,,,1,65,99,all,,,,,,,,0,0,0,4584,10,5064,4584,0.5,10,,0,,0,99,50 ,AddExp(38500);AddNimbus(19250);AddMoney(5850),,,,,0,,
1523,宝石的异变,34,66,0,1,,,,1,65,99,all,,CheckTaskFinished(1522),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,25 ,AddExp(19250);AddNimbus(9625);AddMoney(2925),,,,,0,,
1524,寻根求底,34,66,0,1,,,,1,65,99,all,,CheckTaskFinished(1523),,,,,,0,0,0,4585,15,5112,4585,1,15,,0,,0,99,50 ,AddExp(38500);AddNimbus(19250);AddMoney(5850),,,,,0,,
1525,火眼狻猊,34,66,0,1,,,,1,65,99,all,,CheckTaskFinished(1524),,,,,,0,0,0,4586,10,5066,4586,0.5,10,,0,,0,99,50 ,AddExp(38500);AddNimbus(19250);AddMoney(5850),,,,,0,,
1526,灵光重现,34,66,0,1,,,,1,65,99,all,,"CheckTaskFinished(1525)
GetTaskItemSpace >= 1","AddItem(4587,1)",,,"RemoveItem(4587,1)","RemoveItem(4587,1)",0,0,0,4587,1,0,0,0,1,,0,,0,99,25 ,AddExp(19250);AddNimbus(9625);AddMoney(2925),,,,,0,,
1527,愤愤不平,34,66,0,1,,,,1,65,99,all,,CheckTaskFinished(1526),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,25 ,AddExp(19250);AddNimbus(9625);AddMoney(2925),,,,,0,,
1528,掉包的补偿,34,66,0,1,,,,1,65,99,all,,CheckTaskFinished(1527),,,,,,0,0,0,4588,10,5063,4588,0.5,10,,0,,0,99,50 ,AddExp(38500);AddNimbus(19250);AddMoney(5850),,,,,0,,
1529,下不为例,34,66,0,1,,,,1,65,99,all,,CheckTaskFinished(1528),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,25 ,AddExp(19250);AddNimbus(9625);AddMoney(2925),,,,,0,,
1530,以攻代守,34,66,0,1,,,,1,65,99,all,,CheckTaskFinished(1529),,,,,,0,5064,20,0,0,0,0,0,0,,0,,0,99,50 ,AddExp(38500);AddNimbus(19250);AddMoney(5850),,,,,0,,
1531,青玉奇珍,34,66,0,1,,,,1,65,99,all,,CheckTaskFinished(1530),,,,,,0,0,0,4589,10,5067,4589,0.5,10,,0,,0,99,50 ,AddExp(38500);AddNimbus(19250);AddMoney(5850),,,,,0,,
1532,特殊的召集,34,66,0,1,,,,1,65,99,all,,"CheckTaskFinished(1531)
GetTaskItemSpace >= 1","AddItem(4590,1)",,,"RemoveItem(4590,1)","RemoveItem(4590,1)",0,0,0,0,0,0,0,0,0,,0,,4590,1,45 ,AddExp(34650);AddNimbus(17325);AddMoney(5265),,,,,0,,
1533,师徒伏诛,34,66,1,1,,,,1,65,99,all,,CheckTaskFinished(1532),,,,,,0,5100,1,0,0,0,0,0,0,,0,,0,99,70 ,AddExp(53900);AddNimbus(26950);AddMoney(8190),,,,,0,,
1534,鬼气冲天,34,67,0,1,,,,1,66,99,all,,GetTaskItemSpace >= 1,"AddItem(4591,1)",,,"RemoveItem(4591,1)","RemoveItem(4591,1)",0,0,0,0,0,0,0,0,0,,0,,4591,1,40 ,AddExp(31200);AddNimbus(15600);AddMoney(4680),,,,,0,,
1536,杀生石,34,67,0,1,,,,1,66,99,all,,CheckTaskFinished(1534),,,,,,0,5071,20,0,0,0,0,0,0,,0,,0,99,55 ,AddExp(42900);AddNimbus(21450);AddMoney(6435),,,,,0,,
1537,驱魔之阵,34,67,0,1,,,,1,66,99,all,,CheckTaskFinished(1536),,,,,,0,0,0,4592,10,5069,4592,0.5,10,,0,,0,99,55 ,AddExp(42900);AddNimbus(21450);AddMoney(6435),,,,,0,,
1538,从容应对,34,67,0,1,,,,1,66,99,all,,CheckTaskFinished(1537),,,,,,0,0,0,4593,10,5072,4593,0.5,10,,0,,0,99,55 ,AddExp(42900);AddNimbus(21450);AddMoney(6435),,,,,0,,
1539,大阵初成,34,67,0,1,,,,1,66,99,all,,"CheckTaskFinished(1538)
GetTaskItemSpace >= 1","AddItem(4594,1)",,,"RemoveItem(4594,1)","RemoveItem(4594,1)",0,5074,1,0,0,0,0,0,0,,0,,4594,1,40 ,AddExp(31200);AddNimbus(15600);AddMoney(4680),,,,,0,,
1540,邪气陡现,34,67,0,1,,,,1,66,99,all,,CheckTaskFinished(1539),,,,,,0,5073,20,0,0,0,0,0,0,,0,,0,99,44 ,AddExp(34320);AddNimbus(17160);AddMoney(5148),,,,,0,,
1541,风灵源体,34,67,0,1,,,,1,66,99,all,,CheckTaskFinished(1540),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,25 ,AddExp(19500);AddNimbus(9750);AddMoney(2925),,,,,0,,
1542,祭风妖台,34,67,1,1,,,,1,66,99,all,,CheckTaskFinished(1541),,,,,,0,5103,1,0,0,0,0,0,0,,0,,0,99,75 ,AddExp(58500);AddNimbus(29250);AddMoney(8775),"AddItemEx(244,0,51,1)",,,,0,,
1543,雪魂珠之争,34,67,0,1,,,,1,66,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,25 ,AddExp(19500);AddNimbus(9750);AddMoney(2925),,,,,0,,
1544,天劫地火,34,67,0,1,,,,1,66,99,all,,CheckTaskFinished(1543),,,,,,0,0,0,4595,10,5073,4595,0.5,10,,0,,0,99,55 ,AddExp(42900);AddNimbus(21450);AddMoney(6435),,,,,0,,
1545,原火之灵,34,67,0,1,,,,1,66,99,all,,CheckTaskFinished(1544),,,,,,0,5076;5077;5078,1;1;1,0,0,0,0,0,0,,0,,0,99,55 ,AddExp(42900);AddNimbus(21450);AddMoney(6435),,,,,0,,
1546,水克火,34,67,0,1,,,,1,66,99,all,,"CheckTaskFinished(1544)
GetTaskItemSpace >= 3","AddItem(4596,1);
AddItem(4692,1);
AddItem(4693,1);",,,"RemoveItem(4596,1);
RemoveItem(4692,1);
RemoveItem(4693,1);","RemoveItem(4596,1);
RemoveItem(4692,1);
RemoveItem(4693,1);",0,0,0,0,0,0,0,0,0,,0,,4596;4692;4693,1;1;1,40 ,AddExp(31200);AddNimbus(15600);AddMoney(4680),,,,,0,,
1548,怪犬的尸毒,34,67,0,1,,,,1,66,99,all,,CheckTaskFinished(1546),,,,,,0,0,0,4597,10,5070,4597,0.5,10,,0,,0,99,55 ,AddExp(42900);AddNimbus(21450);AddMoney(6435),,,,,0,,
1549,解毒的药引,34,67,0,1,,,,1,66,99,all,,CheckTaskFinished(1548),,,,,,0,0,0,4598,1,5304,4598,1,1,,0,,0,1,40 ,AddExp(31200);AddNimbus(15600);AddMoney(4680),,,,,0,,
1550,灵丹妙药,34,67,0,1,,,,1,66,99,all,,"CheckTaskFinished(1549)
GetTaskItemSpace >= 1","AddItem(4599,1)",,,"RemoveItem(4599,1)","RemoveItem(4599,1)",0,0,0,0,0,0,0,0,0,,0,,4599,1,40 ,AddExp(31200);AddNimbus(15600);AddMoney(4680),,,,,0,,
1551,另辟蹊径,34,67,0,1,,,,1,66,99,all,,CheckTaskFinished(1546),,,,,,0,5072,20,0,0,0,0,0,0,,0,,0,99,55 ,AddExp(42900);AddNimbus(21450);AddMoney(6435),,,,,0,,
1552,黑煞落魂砂,34,67,0,1,,,,1,66,99,all,,CheckTaskFinished(1551),,,,,,0,0,0,4600,15,5113,4600,1,15,,0,,0,99,45 ,AddExp(35100);AddNimbus(17550);AddMoney(5265),,,,,0,,
1553,冥府法宝,34,67,0,1,,,,1,66,99,all,,CheckTaskFinished(1552),,,,,,0,0,0,4601,10,5075,4601,0.5,10,,0,,0,99,55 ,AddExp(42900);AddNimbus(21450);AddMoney(6435),,,,,0,,
1554,天师恶徒露面,34,67,0,1,,,,1,66,99,all,,CheckTaskFinished(1553),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,25 ,AddExp(19500);AddNimbus(9750);AddMoney(2925),,,,,0,,
1555,夺回雪魂珠,34,67,1,1,,,,1,66,99,all,,CheckTaskFinished(1554),,,,,,0,0,0,4602,1,5102,4602,1,1,,0,,0,99,80 ,AddExp(62400);AddNimbus(31200);AddMoney(9360),,,,,0,,
1556,毒物与药草,34,68,0,1,,,,1,67,99,all,,,,,,,,0,0,0,4603,15,5114,4603,1,15,,0,,0,99,40 ,AddExp(31600);AddNimbus(15800);AddMoney(4800),,,,,0,,
1557,配药解毒,34,68,0,1,,,,1,67,99,all,,"CheckTaskFinished(1556)
GetTaskItemSpace >= 1","AddItem(4604,1)",,,"RemoveItem(4604,1)","RemoveItem(4604,1)",0,0,0,0,0,0,0,0,0,,0,,4604,1,40 ,AddExp(31600);AddNimbus(15800);AddMoney(4800),,,,,0,,
1558,毒物初现,34,68,0,1,,,,1,67,99,all,,,,,,,,0,5084,20,0,0,0,0,0,0,,0,,0,99,55 ,AddExp(43450);AddNimbus(21725);AddMoney(6600),,,,,0,,
1559,巨大的毒虫,34,68,0,1,,,,1,67,99,all,,"CheckTaskFinished(1558)
GetTaskItemSpace >= 1","AddItem(4631,1)",,,"RemoveItem(4631,1)","RemoveItem(4631,1)",0,0,0,0,0,0,0,0,0,3,5085,1,0,99,40 ,AddExp(31600);AddNimbus(15800);AddMoney(4800),,,,,0,,
1560,镇山之塔,34,68,0,1,,,,1,67,99,all,,"CheckTaskFinished(1559)
GetTaskItemSpace >= 1","AddItem(4605,1)",,,"RemoveItem(4605,1)","RemoveItem(4605,1)",0,0,0,0,0,0,0,0,0,,0,,4605,1,40 ,AddExp(31600);AddNimbus(15800);AddMoney(4800),,,,,0,,
1561,天外魔铁,34,68,0,1,,,,1,67,99,all,,CheckTaskFinished(1560),,,,,,0,0,0,4606,15,5115,4606,1,15,,0,,0,99,40 ,AddExp(31600);AddNimbus(15800);AddMoney(4800),,,,,0,,
1562,妖魔肆虐,34,68,0,1,,,,1,67,99,all,,,,,,,,0,5079,20,0,0,0,0,0,0,,0,,0,99,55 ,AddExp(43450);AddNimbus(21725);AddMoney(6600),,,,,0,,
1563,赤身洞之谜,34,68,0,1,,,,1,67,99,all,,CheckTaskFinished(1562),,,,,,0,5086,8,0,0,0,0,0,0,,0,,0,99,55 ,AddExp(43450);AddNimbus(21725);AddMoney(6600),,,,,0,,
1564,长臂神魔,34,68,1,1,,,,1,67,99,all,,CheckTaskFinished(1563),,,,,,0,5104,1,0,0,0,0,0,0,,0,,0,99,85 ,AddExp(67150);AddNimbus(33575);AddMoney(10200),,,,"em;AddItemEx(82,0,1,1)
fm;AddItemEx(109,0,1,1)
bh;AddItemEx(136,0,1,1)
qc;AddItemEx(580,0,1,1)
xq;AddItemEx(658,0,1,1)",0,,
1565,恐怖的蜘蛛,34,68,0,1,,,,1,67,99,all,,,,,,,,0,5087,20,0,0,0,0,0,0,,0,,0,99,40 ,AddExp(31600);AddNimbus(15800);AddMoney(4800),,,,,0,,
1566,赤身洞毒王,34,68,0,1,,,,1,67,99,all,,,,,,,,0,5080,20,0,0,0,0,0,0,,0,,0,99,55 ,AddExp(43450);AddNimbus(21725);AddMoney(6600),,,,,0,,
1567,伏魔灵丹,34,68,0,1,,,,1,67,99,all,,,,,,,,0,0,0,4607,15,5080,4607,0.5,15,,0,,0,99,55 ,AddExp(43450);AddNimbus(21725);AddMoney(6600),,,,,0,,
1568,焚烧蛛穴,34,68,0,1,,,,1,67,99,all,,"CheckTaskFinished(1565);
GetTaskItemSpace >= 1","AddItem(4608,1)",,,"RemoveItem(4608,1)","RemoveItem(4608,1)",0,0,0,0,0,0,0,0,0,,0,,4608,1,40 ,AddExp(31600);AddNimbus(15800);AddMoney(4800),,,,,0,,
1569,善恶有别,34,68,0,1,,,,1,67,99,all,,,,,,,,0,0,0,4609,15,5081;5082,4609;4609,0.5;0.5,15;15,,0,,0,99,55 ,AddExp(43450);AddNimbus(21725);AddMoney(6600),,,,,0,,
1570,特殊的救治,34,68,0,1,,,,1,67,99,all,,"CheckTaskFinished(1569)
GetTaskItemSpace >= 1","AddItem(4610,1)",,,"RemoveItem(4610,1)","RemoveItem(4610,1)",0,0,0,0,0,0,0,0,0,,0,,4610,1,40 ,AddExp(31600);AddNimbus(15800);AddMoney(4800),,,,,0,,
1571,万劫不复,34,68,0,1,,,,1,67,99,all,,,,,,,,0,5081,20,0,0,0,0,0,0,,0,,0,99,55 ,AddExp(43450);AddNimbus(21725);AddMoney(6600),,,,,0,,
1572,巫蛊奴长老,34,68,0,1,,,1,1,67,99,all,,CheckTaskFinished(1570),,,,,,0,0,0,0,0,0,0,0,0,2,5134,1,0,99,75 ,AddExp(59250);AddNimbus(29625);AddMoney(9000),,,,,0,,
1573,巫蛊宗师,34,68,1,1,,,,1,67,99,all,,CheckTaskFinished(1572),,,,,,0,5105,1,0,0,0,0,0,0,,0,,0,99,85 ,AddExp(67150);AddNimbus(33575);AddMoney(10200),,,,,0,,
1574,巧设智文石,34,68,0,1,,,,1,67,99,all,,GetTaskItemSpace >= 1,"AddItem(4611,1)",,,"RemoveItem(4611,1)","RemoveItem(4611,1)",0,0,0,0,0,0,0,0,0,,0,,4611,1,40 ,AddExp(31600);AddNimbus(15800);AddMoney(4800),,,,,0,,
1575,棋逢对手,34,68,0,1,,,,1,67,99,all,,CheckTaskFinished(1574),,,,,,0,5083,20,0,0,0,0,0,0,,0,,0,99,55 ,AddExp(43450);AddNimbus(21725);AddMoney(6600),,,,,0,,
1576,观摩仿制,34,68,0,1,,,,1,67,99,all,,CheckTaskFinished(1574),,,,,,0,0,0,4612,15,5083,4612,0.5,15,,0,,0,99,50 ,AddExp(39500);AddNimbus(19750);AddMoney(6000),,,,,0,,
1577,还治其人之身,34,68,0,1,,,,1,67,99,all,,"CheckTaskFinished(1575);
CheckTaskFinished(1576);
GetTaskItemSpace >= 1","AddItem(4613,1)",,,"RemoveItem(4613,1)","RemoveItem(4613,1)",0,0,0,0,0,0,0,0,0,,0,,4613,1,40 ,AddExp(31600);AddNimbus(15800);AddMoney(4800),,,,,0,,
1578,百花门人,34,69,0,1,,,,1,68,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(24000);AddNimbus(12000);AddMoney(3600),,,,,0,,
1579,妖魔逼近,34,69,0,1,,,,1,68,99,all,,CheckTaskFinished(1578),,,,,,0,5090,20,0,0,0,0,0,0,,0,,0,99,55 ,AddExp(44000);AddNimbus(22000);AddMoney(6600),,,,,0,,
1580,魔门的坐骑,34,69,0,1,,,,1,68,99,all,,CheckTaskFinished(1581),,,,,,0,5089,20,0,0,0,0,0,0,,0,,0,99,55 ,AddExp(44000);AddNimbus(22000);AddMoney(6600),,,,,0,,
1581,佛门的救援,34,69,0,1,,,,1,68,99,all,,CheckTaskFinished(1579),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(24000);AddNimbus(12000);AddMoney(3600),,,,,0,,
1582,邪恶与怪异,34,69,0,1,,,,1,68,99,all,,CheckTaskFinished(1580),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(24000);AddNimbus(12000);AddMoney(3600),,,,,0,,
1583,不死刀客,34,69,0,1,,,,1,68,99,all,,CheckTaskFinished(1582),,,,,,0,5088,20,0,0,0,0,0,0,,0,,0,99,55 ,AddExp(44000);AddNimbus(22000);AddMoney(6600),,,,,0,,
1584,求教达人,34,69,0,1,,,,1,68,99,all,,CheckTaskFinished(1583),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(24000);AddNimbus(12000);AddMoney(3600),,,,,0,,
1585,破咒的仙草,34,69,0,1,,,,1,68,99,all,,CheckTaskFinished(1584),,,,,,0,0,0,4614,15,5117,4614,1,15,,0,,0,99,55 ,AddExp(44000);AddNimbus(22000);AddMoney(6600),,,,,0,,
1586,紫鸢仙露,34,69,0,1,,,,1,68,99,all,,"CheckTaskFinished(1585)
GetTaskItemSpace >= 1","AddItem(4615,1)",,,"RemoveItem(4615,1)","RemoveItem(4615,1)",0,0,0,0,0,0,0,0,0,,0,,4615,1,42 ,AddExp(33600);AddNimbus(16800);AddMoney(5040),,,,,0,,
1587,邪术的终结,34,69,0,1,,,,1,68,99,all,,CheckTaskFinished(1586),,,,,,0,5088,20,0,0,0,0,0,0,,0,,0,99,55 ,AddExp(44000);AddNimbus(22000);AddMoney(6600),,,,,0,,
1588,狂妄的洪长豹,34,69,1,1,,,,1,68,99,all,,CheckTaskFinished(1587),,,,,,0,5106,1,0,0,0,0,0,0,,0,,0,99,85 ,AddExp(68000);AddNimbus(34000);AddMoney(10200),"AddItemEx(254,0,101,1)",,,,0,,
1589,青石洲之谜,34,69,0,1,,,,1,68,99,all,,"CheckTaskFinished(1582)
GetTaskItemSpace >= 1","AddItem(4616,1)",,,"RemoveItem(4616,1)","RemoveItem(4616,1)",0,0,0,0,0,0,0,0,0,,0,,4616,1,85 ,AddExp(68000);AddNimbus(34000);AddMoney(10200),,,,,0,,
1590,邪化的精灵,34,69,0,1,,,,1,68,99,all,,"CheckTaskFinished(1589)
GetTaskItemSpace >= 1","AddItem(4632,1)",,,"RemoveItem(4632,1)","RemoveItem(4632,1)",0,0,0,0,0,0,0,0,0,3,5091,1,0,99,85 ,AddExp(68000);AddNimbus(34000);AddMoney(10200),,,,,0,,
1591,绿洲之花,34,69,0,1,,,,1,68,99,all,,CheckTaskFinished(1592),,,,,,0,0,0,4617,15,5118,4617,1,15,,0,,0,99,50 ,AddExp(40000);AddNimbus(20000);AddMoney(6000),,,,,0,,
1592,雷灵珠的下落,34,69,0,1,,,,1,68,99,all,,CheckTaskFinished(1590),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,45 ,AddExp(36000);AddNimbus(18000);AddMoney(5400),,,,,0,,
1593,痛下杀手,34,69,0,1,,,,1,68,99,all,,CheckTaskFinished(1592),,,,,,0,5091,20,0,0,0,0,0,0,,0,,0,99,55 ,AddExp(44000);AddNimbus(22000);AddMoney(6600),,,,,0,,
1594,魔道邪法,34,69,0,1,,,,1,68,99,all,,CheckTaskFinished(1593),,,,,,0,0,0,4618,10,5092,4618,0.5,10,,0,,0,99,50 ,AddExp(40000);AddNimbus(20000);AddMoney(6000),,,,,0,,
1595,报仇雪恨,34,69,0,1,,,,1,68,99,all,,CheckTaskFinished(1593),,,,,,0,5092,20,0,0,0,0,0,0,,0,,0,99,55 ,AddExp(44000);AddNimbus(22000);AddMoney(6600),,,,,0,,
1596,曙光初现,34,69,0,1,,,,1,68,99,all,,"CheckTaskFinished(1594);
CheckTaskFinished(1595)",,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,42 ,AddExp(33600);AddNimbus(16800);AddMoney(5040),,,,,0,,
1597,失而复得,34,69,1,1,,,,1,68,99,all,,CheckTaskFinished(1596),,,,,,0,0,0,4619,1,5107,4619,1,1,,0,,0,99,85 ,AddExp(68000);AddNimbus(34000);AddMoney(10200),,,,,0,,
1598,尉迟火被困,34,70,0,1,,,,1,69,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(24300);AddNimbus(12150);AddMoney(3690),,,,,0,,
1599,补充元气,34,70,0,1,,,,1,69,99,all,,CheckTaskFinished(1598),,,,,,0,5094,20,0,0,0,0,0,0,,0,,0,99,60 ,AddExp(48600);AddNimbus(24300);AddMoney(7380),,,,,0,,
1600,不动明王阵,34,70,0,1,,,,1,69,99,all,,"CheckTaskFinished(1599)
GetTaskItemSpace >= 1","AddItem(4620,1)",,,"RemoveItem(4620,1)","RemoveItem(4620,1)",0,0,0,0,0,0,0,0,0,,0,,4620,1,55 ,AddExp(44550);AddNimbus(22275);AddMoney(6765),,,,,0,,
1601,撤离鬼镇,34,70,0,1,,,1,1,69,99,all,,CheckTaskFinished(1600),,,,,,0,0,0,0,0,0,0,0,0,2,5129,1,0,99,60 ,AddExp(48600);AddNimbus(24300);AddMoney(7380),,,,,0,,
1602,分化敌人,34,70,0,1,,,,1,69,99,all,,CheckTaskFinished(1601),,,,,,0,0,0,4621,10,5096,4621,0.5,10,,0,,0,99,55 ,AddExp(44550);AddNimbus(22275);AddMoney(6765),,,,,0,,
1603,辛辰子的算盘,34,70,0,1,,,,1,69,99,all,,CheckTaskFinished(1602),,,,,,0,5095,20,0,0,0,0,0,0,,0,,0,99,55 ,AddExp(44550);AddNimbus(22275);AddMoney(6765),,,,,0,,
1604,天龙之女神像,34,70,0,1,,,,1,69,99,all,,"CheckTaskFinished(1603)
GetTaskItemSpace >= 1","AddItem(4622,1)",,,"RemoveItem(4622,1)","RemoveItem(4622,1)",0,0,0,0,0,0,0,0,0,,0,,4622,1,50 ,AddExp(40500);AddNimbus(20250);AddMoney(6150),,,,,0,,
1605,梅鹿子师兄,34,70,1,1,,,,1,69,99,all,,CheckTaskFinished(1604),,,,,,0,5110,1,0,0,0,0,0,0,,0,,0,99,85 ,AddExp(68850);AddNimbus(34425);AddMoney(10455),,,,"em;AddItemEx(11,0,152,1)
fm;AddItemEx(31,0,152,1)
bh;AddItemEx(61,0,152,1)
qc;AddItemEx(557,0,152,1)
xq;AddItemEx(635,0,152,1)",0,,
1606,百蛮七宝,34,70,0,1,,,,1,69,99,all,,,,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,40 ,AddExp(32400);AddNimbus(16200);AddMoney(4920),,,,,0,,
1607,百毒金蚕蛊,34,70,0,1,,,,1,69,99,all,,CheckTaskFinished(1606),,,,,,0,0,0,4623,10,5093,4623,0.5,10,,0,,0,99,55 ,AddExp(44550);AddNimbus(22275);AddMoney(6765),,,,,0,,
1608,寒光碧火,34,70,0,1,,,,1,69,99,all,,CheckTaskFinished(1606),,,,,,0,0,0,4624,15,5119,4624,1,15,,0,,0,99,50 ,AddExp(40500);AddNimbus(20250);AddMoney(6150),,,,,0,,
1609,四上位法宝,34,70,0,1,,,,1,69,99,all,,CheckTaskFinished(1608),,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,40 ,AddExp(32400);AddNimbus(16200);AddMoney(4920),,,,,0,,
1610,百鬼夜行图,34,70,0,1,,,,1,69,99,all,,CheckTaskFinished(1609),,,,,,0,0,0,4625,10,5094,4625,0.5,10,,0,,0,99,55 ,AddExp(44550);AddNimbus(22275);AddMoney(6765),,,,,0,,
1611,千光琉璃塔,34,70,0,1,,,,1,69,99,all,,CheckTaskFinished(1609),,,,,,0,0,0,4626,10,5097,4626,0.5,10,,0,,0,99,55 ,AddExp(44550);AddNimbus(22275);AddMoney(6765),,,,,0,,
1612,百毒诛仙剑,34,70,0,1,,,,1,69,99,all,,CheckTaskFinished(1609),,,,,,0,0,0,4627,10,5098,4627,0.5,10,,0,,0,99,55 ,AddExp(44550);AddNimbus(22275);AddMoney(6765),,,,,0,,
1613,七宝之首,34,70,0,1,,,,1,69,99,all,,"CheckTaskFinished(1610);
CheckTaskFinished(1611);
CheckTaskFinished(1612);",,,,,,0,0,0,0,0,0,0,0,0,,0,,0,99,40 ,AddExp(32400);AddNimbus(16200);AddMoney(4920),,,,,0,,
1614,玄牝珠之秘,34,70,1,1,,,,1,69,99,all,,"CheckTaskFinished(1611);
CheckTaskFinished(1612);
CheckTaskFinished(1613)",,,,,,0,0,0,4628,1,5108,4628,1,1,,0,,0,99,85 ,AddExp(68850);AddNimbus(34425);AddMoney(10455),,,,"em;AddItemEx(21,0,152,1)
fm;AddItemEx(41,0,152,1)
bh;AddItemEx(51,0,152,1)
qc;AddItemEx(567,0,152,1)
xq;AddItemEx(645,0,152,1)",0,,
