"ID","name","desc","talk_pre","talk_accept","talk_doing","talk_finish","task_failed","","","","","","",""
"1650","Ğ¸a Ngøc Tr¥n Gian","Giúp ğŞ Ğ°ng Nguyên KÏ tiêu di®t tam ğÕi yêu v§t trong Âm Phong Ğµng.","Li®t Bá Ğa mßşn sÑc mÕnh cüa nam phß½ng ma giao kªt hşp v¾i ğµc thu§t cüa Xích Thân Ğµng, tÕo thành mµt loÕi ma thú kinh d¸. Chúng có sÑc mÕnh kinh ngß¶i và yêu pháp cao cß¶ng, có th¬ tiêu hóa c½ th¬ cüa con ngß¶i ğ¬ tñ sinh trß·ng. LoÕi quái v§t này nªu ğ¬ chúng sinh sôi näy n· s¨ là m¯i hi¬m h÷a khôn lß¶ng, phäi tiêu di®t ngay!","B¥n ğÕo ğành trông c§y vào ngß¶i","Nhi®m vø ğã xong chßa?","Chúc m×ng kÏ hi®p, quä nhiên phi phàm.","","","","","","","",""
"1651","Th¥n Binh Cüa Tân Thìn TØ","Giúp Nguyên Giác ğÕi sß di®t tr× Tân Thìn TØ","Tân Thìn TØ là tên ác ğµc, ğã l×a gÕt H°ng Phát Lão T±, l¤y m¤t th¥n binh Thiên Ma Hóa Huyªt ğ¬ tác oai tác quái. Nay h¡n ğang r¡p tâm bành trß¾ng lñc lßşng, tàn sát dân lành. KÏ hi®p hãy vào Âm Phong Ğµng di®t t× tên ác ôn này, sÇn dò tìm tung tích cüa th¥n binh, không ğ¬ l÷t vào tay kë x¤u.","Lão nÕp ğành trông c§y vào ngß¶i","Nhi®m vø ğã xong chßa?","Haha, quä nhiên anh hùng xu¤t thiªu niên, tên ma ğ¥u nhß thª mà ngß½i cûng ğánh bÕi ğßşc.","","","","","","","",""
"1652","Cñc LÕc Kªt Gi¾i","Giúp Tß Ğ° Minh phá hüy Cñc LÕc Kªt Gi¾i trong Âm Phong Ğµng.","Không biªt dßşc li®u chï ğµc hàn còn ğßşc bao nhiêu, nªu không nhanh chóng phá hüy Cñc LÕc Kªt Gi¾i thì s¨ r¤t nguy hÕi. $username$, hãy tiêu di®t Cñc LÕc Ğ°ng TØ và Tinh Tinh Dßşc Nhân ğang canh giæ n½i ğây.","TÕi hÕ ğành trông c§y vào ngß¶i","Nhi®m vø ğã xong chßa?","Hay quá, ğã có dßşc li®u chª thu¯c r°i.","","","","","","","",""
"1653","Ngß Ông Ğ¡c Lşi","Giúp Khß½ng ThÑ tiêu di®t Ğß¶ng ThÕch trong Âm Phong Ğµng.","Ğß¶ng ThÕch là mµt tên kh¦u ph§t tâm xà. Trông vë ngoài trung h§u th§t thà nhßng lÕi là tay sai cüa ma giáo. Nay h¡n ğang · trong Âm Phong Ğµng giä ı li®u thß½ng cho sß phø. Hãy th×a lúc này tiêu di®t h¡n ğ¬ tránh tai h÷a sau này.","Lão phu ğành trông c§y vào ngß¶i","Nhi®m vø ğã xong chßa?","T¯t l¡m, gi¶ chï còn Løc Bào Lão T± mà thôi.","","","","","","","",""
"1654","Yêu Ği®p Tiªn Hóa","Giúp D¸ Thú Thu¥n Giä di®t tr× Ği®p Tinh.","Ğáng ghét th§t, quy¬n Vân C¤p Th¤t Thiêm cüa tÕi hÕ không biªt b¸ ai hüy ği vài trang khiªn cho vi®c luy®n linh thú b¸ yêu khí thâm nh§p, tÕo thành mµt loÕi d¸ thú quái ğän. Nay chúng ğang tr¯n trong Âm Phong Ğµng và ngày mµt tr· nên hung bÕo. Mong kÏ hi®p giúp ğŞ tiêu di®t h§u hoÕn này.","TÕi hÕ ğành trông c§y vào ngß¶i","Nhi®m vø ğã xong chßa?","Th§t cäm tÕ, ğây là thù lao xÑng ğáng.","","","","","","","",""
"1655","Ğ® Nh¸ Nguyên Th¥n","Giúp Công Dã Hoàng ğánh bÕi Nam Phß½ng Ma Giáo T± Sß - Løc Bào Lão T±.","Chiªn sñ · Bách Man S½n v¯n ğã xong, chï còn tên lão ma ğ¥u Løc Bào Lão T±. Tuy thân thø tr÷ng thß½ng nhßng nh¶ pháp bäo Huy«n Tçn Ph§t Châu nên có th¬ äo hóa thành nguyên th¥n thÑ 2, r¤t khó di®t t§n g¯c. $username$, hãy tiêu di®t h¡n và nguyên th¥n. Sau ğó thu h°i Huy«n Tçn Ph§t Châu, luy®n hóa pháp lñc cüa nó m¾i mong tiêu di®t ğßşc lão ma ğ¥u này.","B¥n ğÕo ğành trông c§y vào ngß¶i","Nhi®m vø ğã xong chßa?","Làm t¯t l¡m, ğ¬ ta luy®n hóa pháp bäo này, tiêu di®t hoàn toàn lão ma ğ¥u.","","","","","","","",""
"1656","Ngû Hàn ĞÕi Tr§n ","Phái giäi ngû hành tr§n pháp cüa Lßu Ly T¦m Cung, buµc Løc Bào Lão T± hi®n thân.","Løc Bào Lão T± ma công phi phàm, dám b¯ hÕ ngû hành ğÕi tr§n ğ¬ cách ly bän thân và ngoÕi gi¾i khiªn chúng ta không th¬ công kích. Ğành nh¶ tài phép cüa kÏ hi®p phá giäi tr§n pháp này.","Ti¬u næ ğành trông c§y vào ngß¶i","Ğã phá Ngû hành ğÕi tr§n chßa?","Chúc m×ng kÏ hi®p, quä nhiên phi phàm.","","","","","","","",""
"1657","Nhi®m vø Bách Hoa","Giúp BÕch Vân ĞÕi Sß ğánh bÕi Höa Thái Linh Hµ Pháp trong ngû hành tr§n.","Kim Tr§n trong ngû hành ğÕi tr§n cüa Lßu Ly T¦m Cung l¤y Kim Thái Linh làm nguyên c½, kªt hşp v¾i Bách Hoa công pháp mà thành. Nªu kÏ hi®p có th¬ phá ğßşc tr§n pháp, quä là kÏ công.","KÏ hi®p ği nhanh v« nhanh nhé.","Ngß½i ğã g£p Kim Thái Linh chßa?","KÏ hi®p thành công tr· v«, ¡t ğã n¡m ğßşc sÑc mÕnh cüa Kim Hành Canh Tân.","","","","","","","",""
"1658","Nhi®m vø Thanh Thành","Giúp BÕch Vân ĞÕi Sß ğánh bÕi Höa Thái Linh Hµ Pháp trong ngû hành tr§n.","Mµc Tr§n trong ngû hành ğÕi tr§n cüa Lßu Ly T¦m Cung l¤y Mµc Thái Linh làm nguyên c½, kªt hşp v¾i Thanh Thành công pháp mà thành. Nªu kÏ hi®p có th¬ phá ğßşc tr§n pháp, quä là kÏ công.","KÏ hi®p ği nhanh v« nhanh nhé.","Ngß½i ğã g£p Mµc Thái Linh chßa?","KÏ hi®p thành công tr· v«, ¡t ğã n¡m ğßşc sÑc mÕnh cüa Mµc Hành Giáp „t.","","","","","","","",""
"1659","Nhi®m vø Tiên C¥m","Giúp Công Dã Hoàng ğánh bÕi Thüy Thái Linh Hµ Pháp trong ngû hành tr§n.","Thüy Tr§n trong ngû hành ğÕi tr§n cüa Lßu Ly T¦m Cung l¤y Thüy Thái Linh làm nguyên c½, kªt hşp v¾i Tiên C¥m công pháp mà thành. Nªu kÏ hi®p có th¬ phá ğßşc tr§n pháp, quä là kÏ công.","KÏ hi®p ği nhanh v« nhanh nhé.","Ngß½i ğã g£p Thüy Thái Linh chßa?","KÏ hi®p thành công tr· v«, ¡t ğã n¡m ğßşc sÑc mÕnh cüa Thüy Hành Nhâm Quı.","","","","","","","",""
"1660","Nhi®m vø Nga My","Giúp BÕch Vân ĞÕi Sß ğánh bÕi Höa Thái Linh Hµ Pháp trong ngû hành tr§n.","Höa Tr§n trong ngû hành ğÕi tr§n cüa Lßu Ly T¦m Cung l¤y Höa Thái Linh làm nguyên c½, kªt hşp v¾i nga my công pháp mà thành. Nªu kÏ hi®p có th¬ phá ğßşc tr§n pháp, quä là kÏ công.","KÏ hi®p ği nhanh v« nhanh nhé.","Ngß½i ğã g£p Höa Thái Linh chßa?","KÏ hi®p thành công tr· v«, ¡t ğã n¡m ğßşc sÑc mÕnh cüa Höa Hành Bính Ğinh.","","","","","","","",""
"1661","Nhi®m vø Ph§t Môn","Giúp Lı Ninh ğánh bÕi Th± Thái Linh Hµ Pháp trong ngû hành tr§n.","Th± Tr§n trong ngû hành ğÕi tr§n cüa Lßu Ly T¦m Cung l¤y Th± Thái Linh làm nguyên c½, kªt hşp v¾i ph§t môn công pháp mà thành. Nªu kÏ hi®p có th¬ phá ğßşc tr§n pháp, quä là kÏ công.","KÏ hi®p ği nhanh v« nhanh nhé.","Ngß½i ğã g£p Th± Thái Linh chßa?","KÏ hi®p thành công tr· v«, ¡t ğã n¡m ğßşc sÑc mÕnh cüa Th± Hành M§u KÖ.","","","","","","","",""
"1662","Nguy C½ B¸ Bö Quên","Giúp ğ® thØ Thanh Thành Phái mang kh¦u tín ğªn cho Lı Ninh tÕi Ngßng Bích Nhai.","TÕi hÕ nh§n l®nh truy«n tin ğªn Thiên Hóa Thôn, ğªn ğây thì b¸ k©t lÕi vì yêu quái ma thú · kh¡p xung quanh thôn làng, không th¬ di chuy¬n ğßşc. Tình trÕng này có th¬ do nåm xßa tàn dß cüa Huyªt Th¥n Lão T± gây ra. Chúng ta c¥n tìm hi¬u thêm tÕi Huyªt Tinh Linh Bí Ğµng. TÕm th¶i thì nhi®m vø này do Lı Ninh Sß Phø quän lı.","KÏ hi®p ği nhanh v« nhanh nhé.","ĞÕi hi®p quay lÕi có ği«u chi?","Nªu nhß tam gi¾i có thêm nhßng kÏ hi®p nhß ngß½i thì huyªt ma hªt ğß¶ng s¯ng sót.","","","","","","","",""
"1663","BÕch Vân Quan","Thu th§p Xà Cao t£ng cho BÕch Vân ğÕi sß làm quà g£p m£t.","TÕi hÕ v¯n là môn hÕ ğ® tØ cüa Xan Hà ĞÕi Sß, nay nh§n l®nh sß phø ğªn bái kiªn BÕch Vân ĞÕi Sß nhßng lÕi quên chu¦n b¸ quà g£p m£t. Nh¶ kÏ hi®p häo tâm giúp ğŞ?","KÏ hi®p ği nhanh v« nhanh nhé.","ĞÕi hi®p quay lÕi có ği«u chi?","Hóa ra là tâm ı cüa Xan Hà ĞÕi Sß, b¥n ğÕo th§t cäm tÕ.","","","","","","","",""
"1664","Cß¶ng Hóa Tr¸ An","Giúp ğŞ quan phü Thành Ğô tiêu di®t H¡c Y T£c tÕi Thi Gia HÕng.","TÕi hÕ ğã nh§n sÑ m®nh tiêu di®t b÷n tà ác · Thi Gia HÕng. Tuy nhiên b÷n chúng quá ğông mà tÕi hÕ chï có mµt mình, hy v÷ng kÏ hi®p có th¬ trş giúp.","Sau khi hoàn thành sÇn nh¶ kÏ hi®p báo tin v¾i các th¸ v® trong thành phäi c¦n th§n canh gác.","ĞÕi hi®p quay lÕi có ği«u chi?","B÷n ğÕo t£c ğó ğã ğßşc xØ lı r°i à? Th§t là ğáng m×ng.","","","","","","","",""
"1665","C¯ Tri Tß½ng Phùng","GØi l¶i höi thåm cüa T« L² Hi®p Sî ğªn Chu Thu¥n.","Ta và Chu Thu¥n v¯n là b¢ng hæu ğ°ng ğÕo t× xßa, ğã nhi«u nåm không g£p. Nay ta nghe tin Chu ğÕi ca ğang tÕm trú tÕi Bích V§n Am, nh¶ kÏ hi®p mang tin nh¡n cüa ta ğªn cho huynh ¤y r¢ng ta ğang ch¶ huynh ¤y t§p hşp tÕi ğây.","Nh¾ nåm xßa chúng ta oai phong lçm li®t, gi¶ ğây cûng thành lão ông hªt r°i.","ĞÕi hi®p quay lÕi có ği«u chi?","Th§t là, ta phäi xu¤t phát thôi. Ğa tÕ!","","","","","","","",""
"1666","Phúc Tiên Ğàm Chi Hoa","Giúp ğŞ Nhßşc Lan thu th§p Thanh Sß½ng BÕch Tuyªt tÕi Phúc Tiên Ğàm giao cho Chu Vån.","Nhßşc Lan sß tÖ nh¶ ta ğªn H°ng Hoa Ğµng hái dßşc tr¸ thß½ng cho ti¬u hæu Chu Vån nhßng H°ng Hoa Ğµng ğã b¸ Phi Long Sß Thái chiªm giæ, ğành nh¶ kÏ hi®p xu¤t thü tß½ng trş, ğªn Phúc Tiên Ğàm hái Thanh Sß½ng Bách Tuyªt dùng tr¸ bá ğµc.","Chúng tôi mong tin t¯t cüa ğÕi hi®p.","ĞÕi hi®p quay lÕi có ği«u chi?","Ğây là thäo dßşc tr¸ thß½ng cho ta sao? Cäm tÕ kÏ hi®p!","","","","","","","",""
"1667","Gian Nan Sinh Kª","Giúp ğŞ Tuyªt S½n Thôn Li®t Hµ thu th§p Tuyªt Lang Bì Mao.","Chúng tôi là nhæng thş sån sinh s¯ng tÕi ğây, nhßng dÕo này yêu nghi®t hoành hành, bão tuyªt kh¡p n½i khiªn cho cä làng không th¬ ği sån b¡n. Mong kÏ hi®p giúp ğŞ thu th§p Tuyªt Lang Bì Mao ğ¬ s¯ng qua c½n kh¯n khó.","Chúng tôi mong tin t¯t cüa ğÕi hi®p.","ĞÕi hi®p quay lÕi có ği«u chi?","ĞÕi hi®p nhi®t lòng giúp ğŞ, chúng tôi s¨ ghi nh¾.","","","","","","","",""
"1668","Khai Lµ Tiên Phong","Giúp ğŞ Hß½ng Dûng tÕi Tuyªt S½n Thôn tiêu di®t b÷n Ma Cung Träo Nha và Tuyªt S½n Cß¶ng ĞÕo.","L¥n này ğ¯i phó v¾i Thanh Loa Cung yêu nghi®t chßa xong thì bên Thanh Vi­n Tñ lÕi b¡t ğ¥u røc r¸ch. Tuyªt S½n Thôn chúng ta ğã t×ng nh§n ân hu® cüa bên Thanh Loa nên hy v÷ng kÏ hi®p có th¬ giúp mµt tay, tiêu di®t b÷n x¤u cän ğß¶ng ğ¬ chúng ta báo tin này cho các kiªm tiên tÕi Thanh Loa S½n.","Chúng tôi mong tin t¯t cüa ğÕi hi®p.","ĞÕi hi®p quay lÕi có ği«u chi?","İ t¯t cüa Tuyªt S½n Thôn, chúng tôi th§t cäm kích. Hãy bäo tr÷ng.","","","","","","","",""
"1669","Sinh TØ Huy«n Quan","SØ døng Sinh TØ Phù tÕi ğ¸a ği¬m chï ğ¸nh ğ¬ phá hoÕi Huy«n Quan cüa Thanh Loa S½n.","Ğ¬ bäo v® tr§t tñ cüa chân tu gi¾i và ğ¯i phó v¾i b÷n yêu nghi®t tÕi Thanh Loa S½n, chúng ta c¥n phäi phá hüy Huy«n Quan tÕi Thanh Loa S½n. KÏ hi®p có ğ°ng ı giúp ğŞ?","Chúng tôi mong tin t¯t cüa ğÕi hi®p.","Nhi®m vø ğã xong chßa?","ĞÕi hi®p nhi®t lòng giúp ğŞ, chúng tôi s¨ ghi nh¾.","","","","","","","",""
"1670","Xông Pha Tr· NgÕi","Hãy giúp ğŞ Thanh Thüy Bá Trß·ng Lão tiêu di®t Læ Thôn M§t Thám, binh lính Tr¥n Gia Trang.","TÕi hÕ nh§n sñ üy thác cüa trß·ng lão Thanh Thüy Bá ğªn Trß¶ng Sa Tr¤n ğ¬ c¥u trş nhßng lÕi b¸ nhæng ác ğ° cüa Læ Thôn và Tr¥n Gia Trang cän tr·. ĞÕi hi®p có th¬ ra tay trş giúp không?","Chúng tôi mong tin t¯t cüa ğÕi hi®p.","Nhi®m vø ğã xong chßa?","ĞÕi hi®p nhi®t lòng giúp ğŞ, chúng tôi s¨ ghi nh¾.","","","","","","","",""
"1671","Thu Th§p V§t Tß","Giúp Mã Hùng Thôn Dân thu th§p v§t li®u tác chiªn.","Hi®n chúng ta ğang chu¦n b¸ thäo lß½ng ğ¬ v§n chuy¬n ğªn doanh trÕi · QuÖ H¯ng Lâm nhßng tÕm th¶i v§t tß chßa ğü. Mong kÏ hi®p ra tay giúp ğŞ.","Th§t cäm tÕ!","ĞÕi hi®p quay lÕi có ği«u chi?","T¤m häo tâm cüa Mã Hùng Thôn ta xin kh¡c ghi. Nh¶ ğÕi hi®p gØi l¶i cäm tÕ.","","","","","","","",""
"1672","Có Mßşn Có Trä","Hãy mang ti«n b°i thß¶ng cüa Nha Lâm TrÕi Th¸ V® ğªn cho Chü Quán V÷ng Giang L¥u.","Ta v¯n ğßşc Nha Lâm TrÕi trß·ng lão üy thác ğªn Thành Ğô tìm Chu Thu¥n ğÕi hi®p; nay có l¶i nh¶ trş giúp ğªn ğÕo hæu. Nåm xßa ta lßu lÕc ğªn Thành Ğô, ğßşc chü quán V÷ng Giang L¥u cÑu giúp. Nay ta ğã có chút ngân lßşng, phi«n kÏ hi®p mang trä hµ ta.","Chúng tôi mong tin t¯t cüa ğÕi hi®p.","ĞÕi hi®p quay lÕi có ği«u chi?","Ùm, ngß¶i này thành th§t giæ l¶i, là mµt häo hán.","","","","","","","",""
"1673","Vi®t Dã TÖ Thí S½ C¤p","B¡t ğ¥u báo danh lúc 7 gi¶ 55 thÑ hai, tß, sáu hàng tu¥n, 8 gi¶ b¡t ğ¥u thi, 8 gi¶ 25 kªt thúc, ngß¶i ğªn ğích ğ¥u tiên s¨ giành chiªn th¡ng, ngß¶i ch½i c¤p 40 tr· xu¯ng có th¬ tham gia.","B¡t ğ¥u báo danh lúc 7 gi¶ 55 thÑ hai, tß, sáu hàng tu¥n, 8 gi¶ b¡t ğ¥u thi, 8 gi¶ 25 kªt thúc, ngß¶i ğªn ğích ğ¥u tiên s¨ giành chiªn th¡ng, ngß¶i ch½i c¤p 40 tr· xu¯ng có th¬ tham gia.","C¯ g¡ng ğoÕt giäi nào!","C¯ g¡ng ğoÕt giäi nào!","C¯ g¡ng ğoÕt giäi nào!","","","","","","","",""
"1674","Vi®t Dã TÖ Thí Cao C¤p","B¡t ğ¥u báo danh lúc 7 gi¶ 55 thÑ hai, tß, sáu hàng tu¥n, 8 gi¶ b¡t ğ¥u thi, 8 gi¶ 25 kªt thúc, ngß¶i ğªn ğích ğ¥u tiên s¨ giành chiªn th¡ng, ngß¶i ch½i c¤p 40 tr· lên có th¬ tham gia.","B¡t ğ¥u báo danh lúc 7 gi¶ 55 thÑ hai, tß, sáu hàng tu¥n, 8 gi¶ b¡t ğ¥u thi, 8 gi¶ 25 kªt thúc, ngß¶i ğªn ğích ğ¥u tiên s¨ giành chiªn th¡ng, ngß¶i ch½i c¤p 40 tr· lên có th¬ tham gia.","C¯ g¡ng ğoÕt giäi nào!","C¯ g¡ng ğoÕt giäi nào!","C¯ g¡ng ğoÕt giäi nào!","","","","","","","",""
"1675","ĞoÕt LÕi Tài Sän","ĞoÕt lÕi các tài sän thß½ng nhân b¸ b÷n mai phøc Hoang Linh · VÕn Trúc Gian cß¾p ği.","Nhóm Cß¶ng ĞÕo cüa Vong Linh Tà Chü tÕi VÕn Trúc Gian thß¶ng xuyên xu¤t hi®n tÕi Hoang mÕc phía nam ğ¬ cß¾p cüa giªt ngß¶i. Ta ğã t×ng ra tay chính nghîa nhßng cô b¤t ğ¸ch chúng. Ğành nh¶ kÏ hi®p và ğÕo hæu b¯n phß½ng giúp ğŞ, tr× hÕi cho dân.","Th§t là phi«n ğÕi hi®p quá, ta · ğây ch¶ tin vui cüa ngß¶i.","Nhi®m vø ta nh¶ ğã hoàn thành chßa?","TÕ thiên tÕ ğ¸a, r¯t cuµc cûng trä lÕi các hàng hóa b¸ m¤t ğßşc r°i.","","","","","","","",""
"1676","Thanh Tr× VÕn Trúc Gian","Giúp BÕch Vân ĞÕi Sß tiêu di®t Phi Ngô Công và Kim Giác Mãng trong VÕn Trúc Gian.","Phi Ngô Công và Kim Giác Mãng v¯n là yêu quái thành tinh · Vân Linh S½n, sau ğó b¸ Hoang Linh Tà Chü thu phøc và mang ğªn VÕn Trúc Gian. Vì sñ an nguy cüa n½i này, b¥n ğÕo phäi tiêu di®t lû yêu nghi®t. $username$, ngß¶i b¢ng lòng trş giúp không?","Th§t là phi«n ğÕi hi®p quá, ta · ğây ch¶ tin vui cüa ngß¶i.","Nhi®m vø ta nh¶ ğã hoàn thành chßa?","B÷n yêu nghi®t t× Vân Linh S½n chÕy ğªn ğây, bây gi¶ phäi ch¸u báo Ñng nhß thª.","","","","","","","",""
"1677","Hoang Linh Tà Chü","Tiêu di®t ngu°n g¯c tà ác · VÕn Trúc Gian là Hoang Linh Tà Chü.","Tuy sào huy®t cüa Vong Linh Tà Chü ğã b¸ phát hi®n, dß ğäng cûng b¸ truy di®t nhßng lão ta hành ác ğã h½n tråm nåm nên tà pháp cao cß¶ng, hãy nhanh chóng di®t t§n b÷n chúng ğ¬ tránh h§u hoÕn sau này.","Th§t là phi«n ğÕi hi®p quá, ta · ğây ch¶ tin vui cüa ngß¶i.","Nhi®m vø ta nh¶ ğã hoàn thành chßa?","Xem ra thñc lñc cüa kÏ hi®p quä th§t ğáng khâm phøc, nh¤t ğ¸nh s¨ có ngày tr· thành hào ki®t mµt phß½ng.","","","","","","","",""
"1678","Truy Tìm Tiên Châu","Thu th§p ğü s¯ lßşng Tiên Châu giao cho Lı Bán Tiên ğ¬ nh§n thß·ng.","Thßşng ğª ban phúc thiên hÕ, ğã ban phát mµt s¯ Tiên Châu xu¯ng tr¥n gian. Nhæng viên Tiên Châu này ¦n chÑa sÑc mÕnh cüa tr¶i ğ¤t, chúng s¨ giúp kh¡c chª ngu°n g¯c sÑc mÕnh cüa Huyªt Th¥n Lão T± trong Ngßng Bích Nhai, ngß¶i có duyên s¨ g£p ğßşc chúng.","Chúc ngß¶i trë tu±i may m¡n.","Ğã thu th§p ğü Tiên Châu chßa?","Ngß½i th§t là may, hãy nh§n l¤y ph¥n thß·ng này.","","","","","","","",""
"1679","Truy Tìm Tiên Châu","Thu th§p ğü s¯ lßşng Tiên Châu giao cho Lı Bán Tiên ğ¬ nh§n thß·ng.","Thßşng ğª ban phúc thiên hÕ, ğã ban phát mµt s¯ Tiên Châu xu¯ng tr¥n gian. Nhæng viên Tiên Châu này ¦n chÑa sÑc mÕnh cüa tr¶i ğ¤t, chúng s¨ giúp kh¡c chª ngu°n g¯c sÑc mÕnh cüa Huyªt Th¥n Lão T± trong Ngßng Bích Nhai, ngß¶i có duyên s¨ g£p ğßşc chúng.","Chúc ngß¶i trë tu±i may m¡n.","Ğã thu th§p ğü Tiên Châu chßa?","Ngß½i th§t là may, hãy nh§n l¤y ph¥n thß·ng này.","","","","","","","",""
"1680","Truy Tìm Tiên Châu","Thu th§p ğü s¯ lßşng Tiên Châu giao cho Lı Bán Tiên ğ¬ nh§n thß·ng.","Thßşng ğª ban phúc thiên hÕ, ğã ban phát mµt s¯ Tiên Châu xu¯ng tr¥n gian. Nhæng viên Tiên Châu này ¦n chÑa sÑc mÕnh cüa tr¶i ğ¤t, chúng s¨ giúp kh¡c chª ngu°n g¯c sÑc mÕnh cüa Huyªt Th¥n Lão T± trong Ngßng Bích Nhai, ngß¶i có duyên s¨ g£p ğßşc chúng.","Chúc ngß¶i trë tu±i may m¡n.","Ğã thu th§p ğü Tiên Châu chßa?","Ngß½i th§t là may, hãy nh§n l¤y ph¥n thß·ng này.","","","","","","","",""
"1681","Truy Tìm Tiên Châu","Thu th§p ğü s¯ lßşng Tiên Châu giao cho Lı Bán Tiên ğ¬ nh§n thß·ng.","Thßşng ğª ban phúc thiên hÕ, ğã ban phát mµt s¯ Tiên Châu xu¯ng tr¥n gian. Nhæng viên Tiên Châu này ¦n chÑa sÑc mÕnh cüa tr¶i ğ¤t, chúng s¨ giúp kh¡c chª ngu°n g¯c sÑc mÕnh cüa Huyªt Th¥n Lão T± trong Ngßng Bích Nhai, ngß¶i có duyên s¨ g£p ğßşc chúng.","Chúc ngß¶i trë tu±i may m¡n.","Ğã thu th§p ğü Tiên Châu chßa?","Ngß½i th§t là may, hãy nh§n l¤y ph¥n thß·ng này.","","","","","","","",""
"1682","V§n M®nh Khác Bi®t","Phøng l®nh BÕch Vân ĞÕi Sß tìm kiªm 4 ngß¶i thân ph§n khác nhau tÕi VÕn Trúc Gian.","Ğ¬ hoàn thành nhi®m vø tÕi sào huy®t · VÕn Trúc Gian, chúng ta có trà trµn vài ngß¶i ğ°ng ğÕo chính nghîa. Mong kÏ hi®p giúp ğŞ tìm kiªm và bäo v® h÷, nh¢m tránh nhæng cuµc ğøng ğµ ğáng tiªc.","Th§t là phi«n ğÕi hi®p quá, ta · ğây ch¶ tin vui cüa ngß¶i.","Ğã tìm th¤y b÷n ngß¶i ğó chßa?","Tuy không th¬ toàn mÕng rút lui nhßng sinh tØ ğã có s¯ m®nh, nào có cßŞng c¥u..","","","","","","","",""
"852","Gia Nh§p Bang Hµi","Hãy tìm NPC Quän Lı Bang Hµi ğ¬ biªt thêm thông tin v« cách gia nh§p bang hµi.","$username$, tñ c± song quy«n nan ğ¸ch qu¥n hùng, thêm b¢ng hæu là thêm sÑc mÕnh; nào hãy gia nh§p bang hµi, cùng tÕo dñng mµt ğµi quân hùng mÕnh, cùng ph¤n ğ¤u, giúp ğŞ lçn nhau.","Kiên nhçn nghe ta nói chÑ.","Ğ×ng ch¥n ch× næa, hãy nhanh chân gia nh§p bang hµi nào.","Chúc m×ng ngß½i ğã nh§p bang.","","","","","","","",""
"853","Tinh Luy®n Pháp Bäo Chính","Hãy tìm hi¬u thêm v« cách tu luy®n Pháp Bäo Chính tÕi ĞÕi B¢ng Kim Sí Ği¬u.","$username$, pháp bäo chính là món vû khí chü yªu cüa các kÏ hi®p trong tam gi¾i. Ğ¬ gia tång sÑc sát thß½ng c¥n phäi tinh luy®n pháp bäo. Cách thÑc nhß sau:
- B¤m phím i ğ¬ m· khung trang b¸, tÕi ğây có 3 ô vuông ngay giæa dùng chÑa pháp bäo, ô ğ¥u tiên là pháp bäo chính.
- Ğ¥u tiên hãy rê chuµt và b¤m phäi vào pháp bäo ğ¬ tháo gŞ xu¯ng trang hành lı.
- B¤m phím s ğ¬ m· khung kÛ nång, ch÷n bi¬u tßşng Tinh Luy®n Pháp Bäo. Sau ğó hãy ğ£t pháp bäo vào ô tr¯ng duy nh¤t trong cØa s± tinh luy®n. B¤m B¡t ğ¥u ğ¬ tiªn hành tinh luy®n. Quá trình tinh luy®n s¨ hao t¯n linh lñc và mµt ít ngân lßşng.
- Sau khi tinh luy®n kªt thúc, hãy b¤m phäi vào pháp bäo ğ¬ trang b¸ tr· lÕi, xem nhß hoàn thành nhi®m vø.","Kiên nhçn nghe ta nói chÑ.","Ğ×ng ch¥n ch× næa, hãy nhanh tay tinh luy®n pháp bäo nào","Hay l¡m, ngß½i ğã lînh hµi ğßşc r°i.","","","","","","","",""
