基本,,,,,,,,,,,属性,,,,,,,,,,,,,,,,,,,,,,,给予,给予,00,,,,,,,,,,,,,其他,,,,,,,,,小宠物专用,小宠物/战斗宠物,属于哪一个城战区,,,,,1,,
编号,名字,名字,类型,鼠标选择,类型细分,模型ID,可否被玩家攻击,可驯服类型,资源类型,尸体存在时间,等级,掉落金装是否广播,精英比率,伤害比率,头衔,血条层数,效果免疫,技能免疫,血值,魔法,攻击,伤害,闪避率,防御,默认普通攻击,,技能,宠物技能(包括战斗宠物和傀儡),元素伤害,元素防御,攻击距离,移动速度,攻击速度,经验,灵力,金钱,金钱掉落几率,掉落类型,掉落道具,颜色概率,掉落道具等级调整,独立掉落道具,独立颜色概率,独立掉落道具等级调整,独立掉落率,固定掉落数量,随机坐标,地图坐标,功能,默认对话,可接受的任务,可完成的任务,关联任务,传送点,辅助技能,所属势力,声望奖励,对应增益性buf,适合的食物,居住地,离开视野缓存,NPC相对性,随从开关,是否显示附近NPC,是否可在SpcBoss中查找,SpcBoss中的详细描述(xml文件地址),备注(Npc简单描述)
5008,琉璃雄狮,$L:npc_5008$,1,3,,5008,1,1,,100,65,,1.6,2.4,,,,,7812,120,0,964,63,1479,1256,,,"1143,1",,4550;4550;4550;4550;4550,60,120,4,380,63,7600,0.5,1,5623;5624;,0;0;0,"0,0;0,0",5619;5625;6040,0;0;0;0;0;0;0;,"0,0;0,0;0,0;",0.3;0.2;0.13,,"1975 1322;1353 1494;1993 1529;1304 1935;1480 1951;1796 1491;",,,,,,1433;1434;,,,,,,2,,,,,,,,
5009,魔金狼骑,$L:npc_5009$,1,3,,5009,1,3,,100,65,,1.3,2,,,,,6347,120,0,603,63,1138,20,,,"1144,1",,1138;1138;1138;1138;1138,60,120,3,380,63,7600,0.5,1,5623;5624;,0;0;0,"0,0;0,0",5619;5625;6040,0;0;0;0;0;0;0;,"0,0;0,0;0,0;",0.3;0.2;0.13,,,1338;1880;17,,,,,1495;1507;1433;1434;1440;,,,,,,2,,,,,,,,
5010,匪徒的箱子,$L:npc_5010$,2,3,,114,0,,,0,62,,1.5,2,,,,,0,0,0,549,60,1089,20,,,,,1089;1089;1089;1089;1089,60,120,3,365,61,3700,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5011,被抓来的幼童,$L:npc_5011$,1,3,,45,0,,,100,60,,1,,,,,,4168,121,0,257,59,1056,20,,,,,1056;1056;1056;1056;1056,60,120,3,355,59,7200,0.5,,,,,,,,,,,1509;1752;17,talk;task;,talk/npc_talk_5011.xml,1415;,,,,,,,,,,,,,1,,,
5012,妖气魂魄(召唤),$L:npc_5012$,1,3,,4433,1,,,100,63,,1.7,2.5,,,,,7800,120,0,708,61,1105,20,,,,,1105;1105;1105;1105;1105,60,120,3,370,62,7400,0.5,1,5621;5622;,0;0;0,"0,0;0,0",5619;6040,0;0;0;0;0;0;0;,"0,0;0,0;",0.3;0.13,,,1399;1399;17,,,,,1472;,,,,,,,,,,,,,,
5013,布告栏,$L:npc_5013$,1,3,,202,0,,,100,60,,,,0,,,,4168,120,0,257,59,1056,20,,,,,1056;1056;1056;1056;1056,60,120,3,355,59,0,0,,,,,,,,,,,1459;1370;17,talk;task;,talk/npc_talk_5013.xml,1446;1428;1429;1430;1431;1432;1436;1437;1438;1439;1440;,,,,,,,,,,,,,1,,,
5014,白云大师,$L:npc_5014$,1,3,,5020,0,,,100,70,,,,0,,,,5670,120,0,350,68,1219,20,,,,,1219;1219;1219;1219;1219,60,120,3,405,68,8200,0.5,,,,,,,,,,1398;1353;17,1398;1353;17,talk;task,talk/npc_talk_5014.xml,1516;1517;1555;1598;1602;1638;1648;1660;,1441;1515;1516;1554;1555;1601;1638;1648;1660;,,,,,,,,,,,,1,,,
5015,通臂神猿李宁,$L:npc_5015$,1,3,,5021,0,,,100,70,,,,0,,,,5670,120,0,350,68,1219,20,,,,,1219;1219;1219;1219;1219,60,120,3,405,68,8200,0.5,,,,,,,,,,1400;1358;17,1400;1358;17,talk;task;,talk/npc_talk_5015.xml,1518;1519;1520;1524;1532;1585;1615;1640;1647;1661;,1442;1517;1518;1519;1523;1531;1584;1640;1647;1661;,,,,,,,,,,,,1,,,
5016,餐霞大师,$L:npc_5016$,1,3,,5022,0,,,100,70,,,,0,,,,5670,600,0,350,68,1219,20,,,,,1219;1219;1219;1219;1219,60,120,3,405,68,8200,0.5,,,,,,,,,,,1404;1343;17,talk;task,talk/npc_talk_5016.xml,1525;1526;1578;1641;1657;,1443;1524;1525;1573;1597;1641;1657;,,,,,,,,,,,,1,,,
5017,追云叟白谷逸,$L:npc_5017$,1,3,,5023,0,,,100,70,,,,0,,,,5670,120,0,350,68,1219,20,,,,,1219;1219;1219;1219;1219,60,120,3,405,68,8200,0.5,,,,,,,,,,,1409;1342;17,talk;task,talk/npc_talk_5017.xml,1522;1523;1527;1531;1543;1614;1639;1646;1649;1658;,1444;1522;1526;1530;1613;1614;1639;1646;1649;1658;,,,,,,,,,,,,1,,,
5018,百禽道人公冶黄,$L:npc_5018$,1,3,,5024,0,,,100,70,,,,0,,,,5670,120,0,350,68,1219,20,,,,,1219;1219;1219;1219;1219,60,120,3,405,68,8200,0.5,,,,,,,,,,,1399;1346;17,talk;pet;task,talk/npc_talk_5018.xml,1515;1521;1530;1533;1534;1535;1542;1556;1560;1642;1655;1659;,1445;1520;1521;1529;1532;1533;1541;1542;1559;1605;1618;1642;1655;1659;,,,,,,,,,,,,1,,,
5019,白云大师元神,$L:npc_5019$,1,3,,5010,0,,,100,70,,,,0,,,,5670,120,0,350,68,1219,20,,,,,1219;1219;1219;1219;1219,60,120,3,405,68,8200,0.5,,,,,,,,,,,,talk;task,talk/npc_talk_5019.xml,1441;,,,,,,,,,,,,,1,,,
5020,通臂神猿李宁元神,$L:npc_5020$,1,3,,5011,0,,,100,70,,,,0,,,,5670,120,0,350,68,1219,20,,,,,1219;1219;1219;1219;1219,60,120,3,405,68,8200,0.5,,,,,,,,,,,,talk;task;,talk/npc_talk_5020.xml,1442;,,,,,,,,,,,,,1,,,
5021,餐霞大师元神,$L:npc_5021$,1,3,,5012,0,,,100,70,,,,0,,,,5670,600,0,350,68,1219,20,,,,,1219;1219;1219;1219;1219,60,120,3,405,68,8200,0.5,,,,,,,,,,,,talk;task,talk/npc_talk_5021.xml,1443;,,,,,,,,,,,,,1,,,
5022,追云叟白谷逸元神,$L:npc_5022$,1,3,,5013,0,,,100,70,,,,0,,,,5670,120,0,350,68,1219,20,,,,,1219;1219;1219;1219;1219,60,120,3,405,68,8200,0.5,,,,,,,,,,,,talk;task,talk/npc_talk_5022.xml,1444;,,,,,,,,,,,,,1,,,
5023,百禽道人公冶黄元神,$L:npc_5023$,1,3,,5014,0,,,100,70,,,,0,,,,5670,120,0,350,68,1219,20,,,,,1219;1219;1219;1219;1219,60,120,3,405,68,8200,0.5,,,,,,,,,,,,talk;pet;task,talk/npc_talk_5023.xml,1445;,,,,,,,,,,,,,1,,,
5024,箱子,$L:npc_5024$,2,3,,4978,0,,,0,62,,0,0,,,,,0,0,0,0,60,1089,20,,,,,1089;1089;1089;1089;1089,60,120,3,365,61,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5025,箱子,$L:npc_5025$,2,3,,4978,0,,,0,62,,0,0,,,,,0,0,0,0,60,1089,20,,,,,1089;1089;1089;1089;1089,60,120,3,365,61,,,,,,,,,,,,,1642;1372;17,,,,,1446;,,,,,,,,,,,,,,
5026,安雅,$L:npc_5026$,1,3,,44,0,,,100,65,,2,,1,,,,9765,120,0,301,63,1138,20,,,,,1138;1138;1138;1138;1138,60,60,3,380,63,7600,0.5,,,,,,,,,,,1555;1744;17,talk;task;,talk/npc_talk_5026.xml,1458;,1457;,,,,,,,,,,,,,,,
5027,受伤的村民,$L:npc_5027$,1,3,,184,0,,,100,65,,,,0,,,,4883,120,0,301,63,1138,20,,,,,1138;1138;1138;1138;1138,60,120,3,380,63,7600,0.5,,,,,,,,,,,1402;1404;17,talk;task,talk/npc_talk_5027.xml,,1468;,,,,,,,,,,,,,,,
5028,破旧的箱子,$L:npc_5028$,2,3,,114,0,,,0,65,,0,0,1,,,,0,0,0,0,63,1138,20,,,,,1138;1138;1138;1138;1138,60,120,3,380,63,000,0,,,,,,,,,,,1083;1986;17,,,,,1502;,,,,,,,,,,,,,,
5029,百蛮山混混,$L:npc_5029$,1,3,,12,1,,,100,64,,,3,0,,,,4734,252,0,877,62,1121,20,,,,,1121;1121;1121;1121;1121,60,120,3,375,63,7600,0.5,1,5622;5623;,0;0;0,"0,0;0,0",5619;6042,0;0;0;0;0;0;0;,"0,0;0,0",0.3;0.13,,,,,,,,1458;,,,,,,,,,,,1,,,
5030,杨天师,$L:npc_5030$,1,3,,38,0,,,100,66,,,,0,,,,5034,600,0,311,64,1154,20,,"1133,0.1",,,1154;1154;1154;1154;1154,60,120,3,385,64,7800,0.5,,,0.3;0;0;,,,,,,,,1353;1729;17,talk;task;,talk/npc_talk_5030.xml,1509;1514;,1509;1514;,,,,,,,,,,,,1,,,
5031,无名,$L:npc_5031$,1,3,,5016,0,,,100,65,,,,1,,,,4883,120,0,301,63,1138,20,,,,,1138;1138;1138;1138;1138,60,135,3,380,63,7600,0.5,,,,,,,,,,,1982;1594;17,talk;task,talk/npc_talk_5031.xml,1433;1434;1435;1772,1433;1434;1435;1772,,,,,,,,,,,,1,,,
5032,驿站邮件管理员,$L:npc_5032$,1,3,,97,0,,,100,70,,,,0,,,,5670,120,0,350,68,1219,20,,,,,1219;1219;1219;1219;1219,60,120,3,405,68,8200,0.5,,,0.1;0;0;,,,,,,,,1436;1341;17,talk;mail;,talk/npc_talk_5032.xml,,,,,,,,,,,,,,1,,,
5033,月龙村商会代表,$L:npc_5033$,1,3,,4601,0,,,100,70,,,,0,,,,5670,120,0,350,68,1219,20,,,,,1219;1219;1219;1219;1219,60,120,3,405,68,8200,0.5,,,0.1;0;0;,,,,,,,,1430;1341;17,talk;auction;task,talk/npc_talk_5033.xml,,,,,,,,,,,,,,1,,,
5034,胆小的村民,$L:npc_5034$,1,3,,100,0,,,100,60,,,,0,,,,4168,120,0,257,59,1056,20,,,,,1056;1056;1056;1056;1056,60,35,3,53,9,1100,0.5,,,,,,,,,,,1482;1362;17,talk;task,talk/npc_talk_5034.xml,1510;1513,1510;1513,,,,,,,,,,,,1,,,
5035,采药郎中,$L:npc_5035$,1,3,,49,0,,,100,65,,,,0,,,,4883,120,0,301,63,1138,20,,,,,1138;1138;1138;1138;1138,60,15,3,380,63,7600,0.5,,,,,,,,,,,,talk;task;,talk/npc_talk_5035.xml,1511;,1511;,,,,,,,,,,,,,,,
5036,仙界灵石,$L:npc_4371$,1,3,,4336,0,,,100,65,,3.5,3,1,,,,0,0,0,228,31,569,20,,,,,600;600;600;600;600,60,120,3,718,120,14700,0.5,,,1;0;0;,,,,,,,,1454;1340;17,talk;sethome,talk/npc_talk_4371.xml,,,,,,,,,,,,,,1,,,
5037,木元鼎,$L:npc_5037$,2,1,,4550,0,,,100,65,,,,0,,,,4883,120,0,301,63,1138,20,,,,,1138;1138;1138;1138;1138,60,120,3,380,63,,0.5,,,,,,,,,,,,,,,,1407;,,,,,,,,,,,,,,
5038,法宝精灵,$L:npc_5038$,1,3,,814,0,,,100,10,,3.5,3,0,,,,1107,86,0,84,33,601,20,,,,,601;601;601;601;601,60,150,3,215,36,4400,0.5,,,,,,,,,,,374;1192;1,talk;task;,talk/npc_talk_5038.xml,822;,822;,,,,,,,,,,,,1,,,
5039,修炼者伏虎,$L:npc_4511$,1,3,,4337,0,,,100,30,,,,0,,,,983,120,0,76,32,569,20,,,,,569;569;569;569;569,60,120,3,205,34,4200,0.5,,,,,,,,,,,173;538;1,talk;shop;life_skill;enchant;sign;unsign;task;,talk/npc_talk_3407.xml,801;810;,801;804;809,,,18;24;,,,,,,,,,1,,,
5040,凝碧涯铁匠,$L:npc_109$,1,3,,117,0,,,100,10,,,,0,,,,243,120,0,23,14,244,20,,,,,244;244;244;244;244,60,120,3,105,18,2200,0.5,,,0.1;0;0;,,,,,,,,393;1197;1,talk;shop;identify;smithing;life_skill;task;,talk/npc_talk_109.xml,1790;1791,1790;1791,,,12;15;,,,,,1,,,,1,,,
5041,吕村守墓人(越南),$L:npc_4863$,1,3,,4467,0,,,100,60,,,,0,,,,4168,120,0,257,59,1056,20,,,,,1056;1056;1056;1056;1056,60,120,3,355,59,7200,0.5,,,0.1;0;0;,,,,,,,,2730;-357;1,talk;shop;tptc;task,talk/npc_talk_4447.xml,1343;1344;1339;1340;1341;1342;1345;1346;1348;,1343;1344;1339;1340;1341;1342;1345;1346;1348;,,,,,,,,,,,,1,,,
5042,竞技场掌柜(越南),$L:npc_4884$,1,3,,4601,0,,,100,15,,,,0,,,,378,120,0,33,18,325,20,,,,,325;325;325;325;325,60,120,3,130,22,2600,0.5,,,0.1;0;0;,,,,,,,,,talk;shop,talk/npc_talk_108.xml,,,,,,,,,,,,,,,,,
5043,神僧(越南),$L:npc_5043$,1,3,,4337,0,,,100,30,,,,0,,,,983,120,0,76,32,569,20,,,,,569;569;569;569;569,60,120,3,205,34,4200,0.5,,,,,,,,,,,,talk;shop;task;,talk/npc_talk_3407.xml,916;917;918;919;,916;917;918;919;,,,,,,,,,,,,,,,
5044,怒吼雪人,$L:npc_4305$,1,3,,4305,1,2,,100,42,,,,0,,,,1892,120,0,133,42,764,20,,,"1145,1",,764;764;764;764;764,60,120,3,265,44,5400,0.5,1,504;304;,0.1;0;0;,"0,1;-1,0;",4510,0;0;0;0;0;0;0;,"0,0;",0.1,,,-1080;-1520;1,,,,,1156;1159;1178;,,,,,,2,,,,,1,,,
5045,木箱,$L:npc_5045$,2,3,,114,0,,,0,28,,,,0,,,,883,120,0,69,30,536,20,,,,,536;536;536;536;536,60,120,3,195,33,000,0,,,0.1;0;0;,,,,,,,,-272;-610;1,,,,,661,,,,,,,,,,,,,,
5046,火,$L:npc_5046$,1,0,,5067,0,,,10,30,,,,,,,,0,0,0,0,0,0,,,,,,569;569;569;569;569,60,120,3,205,34,0,0,,,,,,,,,,,,,,,,664,,,,,,,,,,,,,,
5047,端午盗贼,$L:npc_5047$,1,3,,74,1,,,100,15,,,,0,,,,265,120,0,33,18,325,1126,,,,,325;325;325;325;325,200,120,3,130,22,2600,0.5,1,,,,5628;,0;0;0;0;0;0;0;,"0,0;",0.5;,,,,,,,,,,,,,,,,,,,,,,
5048,端午盗贼,$L:npc_5048$,1,3,,74,1,,,100,25,,,,0,,,,522,120,0,60,27,488,1126,,,,,488;488;488;488;488,200,120,3,180,30,3600,0.5,1,,,,5628;,0;0;0;0;0;0;0;,"0,0;",0.5;,,,,,,,,,,,,,,,,,,,,,,
5049,端午盗贼,$L:npc_5049$,1,3,,74,1,,,100,35,,,,0,,,,919,120,0,97,36,650,1126,,,,,650;650;650;650;650,200,120,3,230,38,4600,0.5,1,,,,5628;,0;0;0;0;0;0;0;,"0,0;",0.5;,,,,,,,,,,,,,,,,,,,,,,
5050,端午盗贼,$L:npc_5050$,1,3,,74,1,,,100,45,,,,0,,,,1531,120,0,150,45,813,1126,,,,,813;813;813;813;813,200,120,3,280,47,5600,0.5,1,,,,5628;,0;0;0;0;0;0;0;,"0,0;",0.5;,,,,,,,,,,,,,,,,,,,,,,
5051,端午盗贼,$L:npc_5051$,1,3,,74,1,,,100,55,,,,0,,,,2384,120,0,218,54,975,1126,,,,,975;975;975;975;975,200,120,3,330,55,6600,0.5,1,,,,5628;,0;0;0;0;0;0;0;,"0,0;",0.5;,,,,,,,,,,,,,,,,,,,1,,,
5052,端午盗贼,$L:npc_5052$,1,3,,74,1,,,100,65,,,,0,,,,3418,120,0,301,63,1138,1126,,,,,1138;1138;1138;1138;1138,200,120,3,380,63,7600,0.5,1,,,,5628;,0;0;0;0;0;0;0;,"0,0;",0.5;,,,,,,,,,,,,,,,,,,,,,,
5053,端午特使,$L:npc_5053$,1,3,,5,0,,,100,60,,,,0,,,,2918,280,0,257,59,1056,1101,,,,,1056;1056;1056;1056;1056,300,120,3,355,59,7200,0.5,1,,,,,,,,,,66;-400;1,talk;task;,talk/npc_talk_5053.xml,823;824;825;826;827;828;831;832;833;834;835;836;837;838;839;,823;824;825;826;827;828;831;832;833;834;835;836;837;838;839;,,,,,,,,,,,,1,,,
5054,阿飘,$L:npc_5054$,1,3,,172,1,,,100,40,,165,1,2,,,,282336,120,0,1013,26,731,20,,,,``,731;731;731;731;731,60,120,3,42075,7013,1287000,1,2,200;,0;0;0;,"0,0;",6008,0;0;0;0;0;0;0;,"0,0;",0.3,2,,111;-2052;1,,,,,828;825;833;836;839;,,,,,,,,,,,1,,,
5055,粽子,$L:npc_5055$,1,0,,5071,0,,,10,30,,,,,,,,0,0,0,0,0,0,,,,,,569;569;569;569;569,60,120,3,205,34,000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
5056,龙舟,$L:npc_5056$,1,0,,5072,0,,,10,30,,,,,,,,0,0,0,0,0,0,,,,,,569;569;569;569;569,60,120,3,205,34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
5057,龙柱,$L:npc_5057$,1,0,,5073,0,,,10,30,,,,,,,,0,0,0,0,0,0,,,,,,569;569;569;569;569,60,120,3,205,34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
5058,对联1,$L:npc_5058$,1,0,,5074,0,,,10,30,,,,,,,,0,0,0,0,0,0,,,,,,569;569;569;569;569,60,120,3,205,34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
5059,对联2,$L:npc_5059$,1,0,,5075,0,,,10,30,,,,,,,,0,0,0,0,0,0,,,,,,569;569;569;569;569,60,120,3,205,34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
5060,仙灵弟子,$L:npc_5060$,1,3,,4338,0,,,100,60,,,,0,,,,4168,120,0,257,59,1056,20,,,,,1056;1056;1056;1056;1056,60,120,3,355,59,7200,0.5,,,,,,,,,,,,talk;shop;guildterrupdateview,,,,,,,,,,,,,,,,,,
5061,宝石商人,$L:npc_5061$,1,3,,117,0,,,100,60,,,,0,,,,4168,120,0,257,59,1056,20,,,,,1056;1056;1056;1056;1056,60,120,3,355,59,7200,0.5,,,0.1;0;0;,,,,,,,,,talk;shop;,talk/npc_talk_102.xml,,,,,,,,,,,,,,,,,
5062,滇西土兵,$L:npc_5062$,1,3,,5076,1,,,100,66,,1.2,2.5,0,,,,6041,100,0,777,64,1154,20,,,,,1154;1154;1154;1154;1154,60,120,3,385,64,7800,0.5,1,406;706,0;0;0;,"0,0;0,0;",6028;6042,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,1372;1138;17,,,,,1516;1627;1629;1639,,,,,,,,,,,,,,
5063,乌金黒砂兽,$L:npc_5063$,1,3,,5077,1,1,,100,66,,1.2,2.5,0,,,,6041,100,0,777,64,1154,20,,,"1143,1",,1154;1154;1154;1154;1154,60,120,3,385,64,7800,0.5,1,406;706,0;0;0;,"0,0;0,0;",6029;6040,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,1569;1138;17,,,,,1519;1528;1628;1638,,,,,,2,,,,,,,,
5064,滇西武士,$L:npc_5064$,1,3,,5078,1,,,100,66,,1.2,2.5,0,,,,6041,100,0,777,64,1154,20,,,,,1154;1154;1154;1154;1154,60,120,3,385,64,7800,0.5,1,406;706,0;0;0;,"0,0;0,0;",6028;6042,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,1568;1187;17,,,,,1522;1530;1627;1629;1639,,,,,,,,,,,,,,
5065,南蛮弓箭手,$L:npc_5065$,1,3,,5079,1,,,100,66,,1.2,2.5,0,,,,6041,100,0,777,64,1154,1263,,,,,1154;1154;1154;1154;1154,200,120,3,385,64,7800,0.5,1,406;706,0;0;0;,"0,0;0,0;",6028;6042,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,1435;1105;17,,,,,1518;1627;1629,,,,,,,,,,,,,,
5066,火眼狻猊,$L:npc_5066$,1,3,,5080,1,2,,100,66,,1.2,2.5,0,,,,6041,100,0,777,64,1154,20,,,"1145,1",,1154;1154;1154;1154;1154,60,120,3,385,64,7800,0.5,1,406;706,0;0;0;,"0,0;0,0;",6029;6040,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,1435;1166;17,,,,,1525;1626;1628;1619;1638,,,,,,2,,,,,,,,
5067,毒龙侍者,$L:npc_5067$,1,3,,5081,1,,,100,66,,1.2,2.5,0,,,,6041,100,0,777,64,1154,20,,,,,1154;1154;1154;1154;1154,60,120,3,385,64,7800,0.5,1,406;706,0;0;0;,"0,0;0,0;",6029;6042,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,1657;1141;17,,,,,1520;1531;1627;1629,,,,,,,,,,,,,,
5068,毒龙怪,$L:npc_5068$,1,3,,5082,1,,,100,66,,1.2,2.5,0,,,,6041,100,0,777,64,1154,20,,,,,1154;1154;1154;1154;1154,60,120,3,385,64,7800,0.5,1,406;706,0;0;0;,"0,0;0,0;",6029;6042,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,,,,,,1532,,,,,,,,,,,,,,
5069,金针圣女,$L:npc_5069$,1,3,,5083,1,,,100,67,,1.2,2.5,0,,,,6226,100,0,801,65,1170,20,,,,,1170;1170;1170;1170;1170,60,120,3,390,65,7800,0.5,1,706;806,0;0;0;,"0,0;0,0;",6031;6041,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,1478;705;17,,,,,1537;1627;1629;1631;1633;1641,,,,,,,,,,,,,,
5070,绿毛三头犬,$L:npc_5070$,1,3,,5084,1,2,,100,67,,1.2,2.5,0,,,,6226,100,0,801,65,1170,20,,,"1145,1",,1170;1170;1170;1170;1170,60,120,3,390,65,7800,0.5,1,706;806,0;0;0;,"0,0;0,0;",6030;6040,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,1459;603;17,,,,,1548;1626;1620,,,,,,2,,,,,,,,
5071,符咒女妖,$L:npc_5071$,1,3,,5085,1,,,100,67,,1.2,2.5,0,,,,6226,100,0,801,65,1170,20,,,,,1170;1170;1170;1170;1170,60,120,3,390,65,7800,0.5,1,706;806,0;0;0;,"0,0;0,0;",6030;6041,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,1426;936;17,,,,,1536;1631;1633;1640,,,,,,,,,,,,,,
5072,鬼符天师,$L:npc_5072$,1,3,,5086,1,,,100,67,,1.2,2.5,0,,,,6226,100,0,801,65,1170,1261,,,,,1170;1170;1170;1170;1170,200,120,3,390,65,7800,0.5,1,706;806,0;0;0;,"0,0;0,0;",6031;6041,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,1383;569;17,,,,,1538;1551;1627;1629;1631;1633;1640,,,,,,,,,,,,,,
5073,先天风灵,$L:npc_5073$,1,3,,5087,1,2,,100,67,,1.2,2.5,0,,,,6226,100,0,801,65,1170,20,,,"1145,1",,1170;1170;1170;1170;1170,60,120,3,390,65,7800,0.5,1,706;806,0;0;0;,"0,0;0,0;",6030;6040,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,1426;861;17,,,,,1540;1544;,,,,,,2,,,,,,,,
5074,鬼风灵,$L:npc_5074$,1,3,,5088,1,2,,100,67,,1.2,2.5,0,,,,6226,100,0,801,65,1170,20,,,"1145,1",,1170;1170;1170;1170;1170,60,120,3,390,65,7800,0.5,1,706;806,0;0;0;,"0,0;0,0;",6030;6040,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,,,,,,1539,,,,,,2,,,,,,,,
5075,冥府道长,$L:npc_5075$,1,3,,5089,1,,,100,67,,1.2,2.5,0,,,,6226,100,0,801,65,1170,1262,,,,,1170;1170;1170;1170;1170,300,120,3,390,65,7800,0.5,1,706;806,0;0;0;,"0,0;0,0;",6031;6041,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,1358;648;17,,,,,1553;1627;1629;1631;1633;1641,,,,,,,,,,,,,,
5076,鬼火炎魔,$L:npc_5076$,1,3,,5090,1,,,100,67,,3,5,0,,,,15566,100,0,1601,65,1170,20,,,,,1170;1170;1170;1170;1170,60,120,3,390,65,7800,0.5,1,706;806,0;0;0;,"0,0;0,0;",6031;6040,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,1487;565;17,,,,,1545,,,,,,,,,,,,,,
5077,鬼泣岩魔,$L:npc_5077$,1,3,,5091,1,,,100,67,,3,5,0,,,,15566,100,0,1601,65,1170,20,,,,,1170;1170;1170;1170;1170,60,120,3,390,65,7800,0.5,1,706;806,0;0;0;,"0,0;0,0;",6031;6040,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,1348;576;17,,,,,1545,,,,,,,,,,,,,,
5078,鬼紫晶魔,$L:npc_5078$,1,3,,5092,1,,,100,67,,3,5,0,,,,15566,100,0,1601,65,1170,20,,,,,1170;1170;1170;1170;1170,60,120,3,390,65,7800,0.5,1,706;806,0;0;0;,"0,0;0,0;",6031;6040,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,1416;638;17,,,,,1545,,,,,,,,,,,,,,
5079,小长臂魔,$L:npc_5079$,1,3,,5093,1,1,,100,68,,1.2,2.5,0,,,,6415,100,0,825,66,1186,20,,,"1143,1",,1186;1186;1186;1186;1186,120,120,3,395,66,8000,0.5,1,806;206,0;0;0;,"0,0;0,0;",6032;6040,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,1937;1188;17,,,,,1562;1630;1643,,,,,,2,,,,,,,,
5080,莽牯朱蟾,$L:npc_5080$,1,3,,5094,1,2,,100,68,,1.2,2.5,0,,,,6415,100,0,825,66,1186,20,,,"1145,1",,1186;1186;1186;1186;1186,60,120,3,395,66,8000,0.5,1,806;206,0;0;0;,"0,0;0,0;",6032;6042,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,1960;1104;17,,,,,1566;1567;1632;1621;1642,,,,,,2,,,,,1,,,
5081,邪恶的巫蛊奴,$L:npc_5081$,1,3,,5095,1,,,100,68,,1.2,2.5,0,,,,6415,100,0,825,66,1186,20,,,,,1186;1186;1186;1186;1186,60,120,3,395,66,8000,0.5,1,806;206,0;0;0;,"0,0;0,0;",6033;6042,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,1936;1029;17,,,,,1569;1571;1631;1633;1642,,,,,,,,,,,,,,
5082,善良的巫蛊奴,$L:npc_5082$,1,3,,5096,0,,,100,68,,1.2,2.5,0,,,,6415,100,0,825,66,1186,20,,,,,1186;1186;1186;1186;1186,60,120,3,395,66,8000,0.5,1,806;206,0;0;0;,"0,0;0,0;",6033;6042,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,1914;990;17,talk;,talk/npc_talk_5082.xml,,,1569;1570,,,,,,,,,,,,,,
5083,天元幽幻蛊,$L:npc_5083$,1,3,,5097,1,,,100,68,,1.2,2.5,0,,,,6415,100,0,825,66,1186,1264,,,,,1186;1186;1186;1186;1186,200,120,3,395,66,8000,0.5,1,806;206,0;0;0;,"0,0;0,0;",6033;6040,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,1905;905;17,,,,,1575;1576,,,,,,,,,1,,,,,
5084,八臂蜈蚣,$L:npc_5084$,1,3,,5098,1,2,,100,68,,1.2,2.5,0,,,,6415,100,0,825,66,1186,20,,,"1145,1",,1186;1186;1186;1186;1186,90,120,3,395,66,8000,0.5,1,806;206,0;0;0;,"0,0;0,0;",6032;6040,0;0;0;0;0;0;0;,"0,0;0,0",0.13;0.13,,,1780;1136;17,,,,,1558;1630;1632;1643,,,,,,2,,,,,,,,
