,,基础属性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,释放过程（针对主动技能）,,,,,,,,,,,,,,,,,,,,,,,,,,特效表现,,,客户端表现,,,
2226,变形术-B,2226,1,,,1,,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(906);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,,ic_mon011,,,1
2227,变形术-C,2227,1,,,1,,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(5662);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,,ic_mon011,,,1
2228,变形术-D,2228,1,,,1,,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(5663);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,,ic_mon011,,,1
2229,变形术-E,2229,1,,,1,,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(19);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,,ic_mon011,,,1
2230,变形术-F,2230,1,,,1,,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(5664);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,,ic_mon011,,,1
2231,变形术-G,2231,1,,,1,,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(17);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,,ic_mon011,,,1
2232,经验提高,2232,1,,,1,1,,,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddExpRate(EffParam1/100.0),,,,1800*1000,1,,,,,,,,,,,,,,,,exppill,,,1
2233,变形术-H,2233,1,,,1,,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(604);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,,ic_mon011,,,1
2234,提升血上限(月龙斗士),2234,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddMaxHp(500),,,,1800*1000,1,,,,,,,,,,,,,,,,ic_pet_hp,,,1
2235,防御增强(月龙勇士),2235,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,"AddArmor(0,500)",,,,1800*1000,1,,,,,,,,,,,,,,,,ic_skill_fskill12,,,1
2236,伤害提高(月龙霸主),2236,1,,,1,1,,,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,"AddDmgRate(0,10);AddDmgRate(1,10);AddDmgRate(2,10);AddDmgRate(3,10);AddDmgRate(4,10);AddDmgRate(5,10);AddDmg(0,10);AddDmg(1,10);AddDmg(2,10);AddDmg(3,10);AddDmg(4,10);AddDmg(5,10);",,,,1800*1000,1,,,,,,,,,,,,,,,,ic_fskill02,,,1
2237,吸收伤害(月龙侠客),2237,1,,,1,1,,,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,"AddDeltaDmgRate(0,-0.1);AddDeltaDmgRate(1,-0.1);AddDeltaDmgRate(2,-0.1);AddDeltaDmgRate(3,-0.1);AddDeltaDmgRate(4,-0.1);AddDeltaDmgRate(5,-0.1);AddDeltaDmg(0,-5);AddDeltaDmg(1,-5);AddDeltaDmg(2,-5);AddDeltaDmg(3,-5);AddDeltaDmg(4,-5);AddDeltaDmg(5,-5);",,,,1800*1000,1,,,,,,,,,,,,,,,,ic_skill_fskill12,,,1
2238,昏迷,2238,1,7,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,0,1,,4,,,,,,AddMove(-1);AddAtt(-1),,,,20000,1,,,,,,,,,,,,,eff_coma,,,ic_buff_coma,,,1
2239,加速,2239,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,10,,,,,,AddSpeedRate(EffParam1/100.0),,,,EffParam2*1000,1,,,,,,,,,,,eff_q_skill15_start,root,eff_q_skill15,root,,ic_skill_qskill15,,,1
2240,粽子人变形术,2240,1,,,1,,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(5068);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,,ic_mon011,,,1
2241,龙舟人变形术,2241,1,,,1,,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(5069);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,,ic_mon011,,,1
2242,蛇女变形术,2242,1,,,1,,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(5070);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,,ic_mon011,,,1
2243,粽子人变形术,2243,1,,,1,,,,AddEffect(2240),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2244,龙舟人变形术,2244,1,,,1,,,,AddEffect(2241),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2245,蛇女变形术,2245,1,,,1,,,,AddEffect(2242),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2246,震晕,2246,1,7,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,0,1,,4,,,,,,AddMove(-1);AddAtt(-1),,,,EffParam1*1000,1,,,,,,,,,,,,,eff_coma,,,ic_action_pracitice,,,1
2247,眩晕,2247,1,,,1,,,,"AddEffect(2246,5)",,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2248,伤害提高（乔鸟）,2248,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddDmg(1,15);AddDmg(2,15);AddDmg(3,15);AddDmg(4,15);AddDmg(5,15);",,,,5*60*1000,1,5000,,,,,,,,,,,,,,,ic_it614,,,1
2249,吸收伤害（神鳄）,2249,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddDeltaDmg(0,-20);AddDeltaDmg(1,-20);AddDeltaDmg(2,-20);AddDeltaDmg(3,-20);AddDeltaDmg(4,-20);AddDeltaDmg(5,-20);",,,,5*60*1000,1,5000,,,,,,,,,,,,,,,ic_it615,,,1
2250,防御增强(金刚),2250,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddArmor(0,888)",,,,5*60*1000,1,5000,,,,,,,,,,,,,,,ic_skill_fskill12,,,1
2251,防御提升(夜叉),2251,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddArmor(1,300);AddArmor(2,300);AddArmor(3,300);AddArmor(4,300);AddArmor(5,300);",,,,5*60*1000,1,5000,,,,,,,,,,,,,,,ic_it3519,,,0
2252,增加闪躲(银狐),2252,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,11,,,,,,AddDodge(400),,,,1*60*1000,1,5000,,,,,,,,,,eff_q_skill16,root,eff_buff_powerup,root,,ic_skill_qskill16,,,1
2253,增加爆击(乔鞭子),2253,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddDeltaCriticalRate(0,0.4);AddDeltaCriticalRate(1,0.4);AddDeltaCriticalRate(2,0.4);AddDeltaCriticalRate(3,0.4);AddDeltaCriticalRate(4,0.4);AddDeltaCriticalRate(5,0.4);",,,,1*60*1000,1,5000,,,,,,,,,,,,,,,iwfs04,,,0
2254,无敌,2254,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,AddBeAtt(-1),,,,30*1000,1,,,,,,,,,,,,,eff_rebirth,,,ic_it3419,,,1
2255,伤害提高（乔鸟）,2255,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,,,,0,,5000,,,,AddEffect(2248),,,,,,,,,,,ic_it614,,1,1
2256,吸收伤害（神鳄）,2256,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,,,,0,,5000,,,,AddEffect(2249),,,,,,,,,,,ic_it615,,1,1
2257,防御增强(金刚),2257,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,,,,0,,5000,,,,AddEffect(2250),,,,,,,,,,,ic_skill_fskill12,,1,1
2258,防御提升(夜叉),2258,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,,,,0,,5000,,,,AddEffect(2251),,,,,,,,,,,ic_it3519,,1,0
2259,增加闪躲(银狐),2259,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,11,,,,,,,,,,0,,5000,,,,AddEffect(2252),,,,,,eff_q_skill16,root,eff_buff_powerup,root,,ic_skill_qskill16,,1,1
2260,增加爆击(乔鞭子),2260,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,10,IsMyMaster=1,,,,,,,,,,,0,,5000,,,,AddEffect(2253),,,,,,,,,,,iwfs04,,1,0
2261,保护(紫晶壁),2261,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,8,,,,,,AddDmgPreReceive(2000),,,,60000,1,,,,,,,,,,,,,,,,ic_skill_bskill19,,,0
2262,昏迷(怒雷轰),2262,1,7,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,3,,,,,,AddMove(-1);AddAtt(-1),,,,3000,1,,,,,,,,,,,,,eff_coma,,,ic_skill_bskill01,,,1
2263,破甲(裂甲破),2263,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,,,,,,,"AddArmor(0, -500);AddArmor(2, -500);AddArmor(3, -500)",,,,5000,1,,,,,,,,,,,,,eff_weak,,,ic_skill_xskill01,,,1
2264,灼烧(火龙舞),2264,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,12,,,,,,,,,,6000,3,,,,AddHp(-600),,,,,,,,,eff_fire_dot,,,ic_buff_fire,,,1
2265,昏迷(地罡术),2265,1,5,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,4,,,,,,AddMove(-1);AddAtt(-1),,,,3*1000,1,,,,,,,,,,,,,eff_stun,,,ic_skill_eskill07,,,1
2266,防御削弱,2266,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddArmor(0,-2000)",,,,10000,1,5000,,,,,,,,,,,,,,,ic_skill_fskill12,,,1
2267,昏迷(龙吟),2267,1,6,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,4,,,,,,AddMove(-1);AddAtt(-1),,,,EffParam1*1000,1,,,,,,,,,,,,,eff_stun,,,ic_buff_stun,,,1
2270,缴械,2270,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,15,,,,,,AddAtt(-1),,,,EffParam1*1000,1,,,,,,,,,,,,,eff_weak,,,ic_skill_xskill01,,,1
2271,昏迷,2271,1,7,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,0,1,,4,,,,,,AddMove(-1);AddAtt(-1),,,,EffParam1*1000,1,,,,,,,,,,,,,eff_coma,,,ic_buff_coma,,,1
2272,瘟疫的感染,2272,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,"IsUser=1 && IsSelf=0",13,,,5,,150,,,"AddEffect(2273,EffParam1)",,15000,5,,,,,"AddEffect(2273,EffParam1)",,,,,,,,,,,ic_buff_poison,,,0
2273,瘟疫,2273,1,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,13,,,,,,,,,,15000,5,,,,AddHp(EffParam1),,,,,,,,,eff_poison_dot,,,ic_buff_poison,,,0
2274,流血,2274,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,1,,,,,,,,,,10000,5,,,,AddHp(EffParam1),,,,,,,,,eff_poison_dot,,,ic_buff_poison,,,0
2275,虚弱诅咒,2275,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,,,,,,,"AddArmorRate(0,-25);",,,,15000,1,,,,,,,,,,,,,eff_weak,,,ic_skill_xskill01,,,1
2276,缓速,2276,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,2,,,,,,AddSpeedRate(-EffParam1/100.0),,,,EffParam2*1000,1,,,,,,,,,,,,,eff_weak,,,ic_eskill13,,,1
2277,引血,2277,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,3000,1,,,,AddHp(EffParam1),,,,,,,,,eff_heal,root,,ic_skill_bskill10,,,1
2278,灵力提高,2278,1,,,1,1,,,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddNimbusRate(EffParam1/100.0),,,,EffParam2*1000,1,,,,,,,,,,,,,,,,ic_it3735,,,1
2279,凝神,2279,1,,,1,1,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(5191);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,,ic_ningshengod,,,1
2280,凝神暂停,2280,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,0,1,,,,,,,,,,,,,eff_pausegod,root,,ic_buff_visible,,,1
2281,封印,2281,1,,,0,1,,,,1,,1,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,"AddEffectResist(4,1.0);AddEffectResist(14,1.0)",,,,120*1000,1,,,,,,,,,,,,,eff_tower_attack,,,ic_buff_visible,,,1
2282,元灵汇聚,2282,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,2000,1,,,,,,,,,,,,,eff_nimubus,root,,flash004_p,,,1
2283,齐乐融融,2283,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,2,1,IsUser=1,,,,200,,400,,,,,15*60*1000,15,,,,,AddEffect(2284),,,,,,,,,,,ic_it3519,,,0
2284,齐乐融融,2284,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,5*1000,1,,,,,"AddExp((Level*Level*13+1000)/15,1);AddNimbus((Level*Level*13+1000)/15/2,1)",,,,,,,,eff_guildexp,root,,ic_it3519,,1,0
2285,经验提高,2285,1,,,1,1,,,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddExpRate(EffParam1/100.0),,,,EffParam2*1000,1,,,,,,,,,,,,,,,,ic_it072,,,1
2286,战斗宠物经验提高,2286,1,,,1,1,,,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddPetExpRate(EffParam1/100.0),,,,EffParam2*1000,1,,,,,,,,,,,,,,,,ic_it615,,,1
2287,牛郎变形术,2287,1,,,1,,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(5262);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,,ic_mon011,,,1
2288,织女变形术,2288,1,,,1,,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(5263);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,,ic_mon011,,,1
2289,牛郎变形术,2289,1,,,1,,,,AddEffect(2287),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2290,织女变形术,2290,1,,,1,,,,AddEffect(2288),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2291,伤害吸收,2291,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,8,,,,,,AddDmgPreReceive(EffParam2),,,,EffParam1*1000,1,,,,,,,,,,,,,,,,ic_it4907,,,0
2292,属性防御(火),2291,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddArmor(1, EffParam2);",,,,EffParam1*1000,1,,,,,,,,,,,,,,,,ic_it4902,,,1
2293,属性防御(水),2291,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddArmor(2, EffParam2);",,,,EffParam1*1000,1,,,,,,,,,,,,,,,,ic_it4903,,,1
2294,属性防御(雷),2291,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddArmor(4, EffParam2);",,,,EffParam1*1000,1,,,,,,,,,,,,,,,,ic_it4904,,,1
2295,属性防御(毒),2291,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddArmor(3, EffParam2);",,,,EffParam1*1000,1,,,,,,,,,,,,,,,,ic_it4905,,,1
2296,属性防御(佛),2291,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,"AddArmor(5, EffParam2);",,,,EffParam1*1000,1,,,,,,,,,,,,,,,,ic_it4906,,,1
2297,柚子皮熊貓人变形术,2297,1,,,1,,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(5289);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,,ic_mon011,,,1
2298,月餅熊貓大俠变形术,2298,1,,,1,,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(5290);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,,ic_mon011,,,1
2299,中秋萌萌月兔变形术,2299,1,,,1,,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(5291);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,,ic_mon011,,,1
2300,柚子皮熊貓人变形术,2300,1,,,1,,,,AddEffect(2297),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2301,月餅熊貓大俠变形术,2301,1,,,1,,,,AddEffect(2298),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2302,中秋萌萌月兔变形术,2302,1,,,1,,,,AddEffect(2299),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2303,赛跑者的觉悟,2303,1,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,7200*1000,1,,,,,,,,,,,,,eff_guildexp,root,,f_bfg2,,,0
2304,隐秘面具,2304,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,SetCanBeSeen,,,,1800*1000,1,,,,,,,,,,,,,,,,ic_boss011,,,0
2305,五行星火,2305,1,,,1,1,,,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,"AddSpeedRate(0.1);AddDeltaCriticalRate(0,0.7);AddDeltaCriticalRate(1,0.07);AddDeltaCriticalRate(2,0.07);AddDeltaCriticalRate(3,0.07);AddDeltaCriticalRate(4,0.07);AddDeltaCriticalRate(5,0.07);AddDodgeRate(0.07);AddMaxHpRate(0.1);AddHpReg(10);AddMpReg(10)",,,,EffParam1*24*3600*1000,1,,,,,,,,,,,,,eff_five_fire,root,,ic_it4901_b,,,1
2306,提升血上限,1200,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddMaxHpRate(0.05),,,,600*3000,1,,,,,,,,,,,,,,,,ic_pet_hp,,,1
2307,防御增强,2307,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,"AddArmorRate(0,5)",,,,600*3000,1,,,,,,,,,,,,,,,,ic_skill_fskill12,,,1
2308,提升血上限,1200,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddMaxHpRate(0.1),,,,600*3000,1,,,,,,,,,,,,,,,,ic_pet_hp,,,1
2309,防御增强,2309,1,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,"AddArmorRate(0,10)",,,,600*3000,1,,,,,,,,,,,,,,,,ic_skill_fskill12,,,1
2310,生命之火,2310,1,,,1,1,,1,"Msg(""world"",""$L:msg_attack_lose$"")",,,,1,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,2*3600*1000,1,,,,,,,,,,,,,,,,ic_it4901_b,,,1
2311,减少血上限,1200,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,,,,,,,AddMaxHpRate(-0.05),,,,2*60*1000,1,,,,,,,,,,,,,eff_poison_dot,,,ic_buff_poison,,,1
2312,大范围群晕（出场）（金牙族长）,2312,1,5,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,4,,,,,,AddMove(-1);AddAtt(-1),,,,8*1000,1,,,,,,,,,,,,,eff_stun,,,ic_skill_eskill07,,,1
2313,经验提高,2313,2,,,1,1,,,,,,,0,,,,,,,,,,,,,,,,,1,0,,,,,,,,AddExpRate(EffParam1/100.0),,,,EffParam2*60*1000,1,,,,,,,,,,,,,,,,x3exp,,,1
2314,圣诞变形术男,2314,1,,,1,,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(6030);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,,ic_mon011,,,1
2315,圣诞变形术女,2315,1,,,1,,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(6031);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,,ic_mon011,,,1
2316,圣诞老人变形术,2316,1,,,1,,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(4520);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,,ic_mon011,,,1
2317,圣诞雪人变形术,2317,1,,,1,,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(4523);AddAtt(-1);AddRidable(-1),,,,0,1,,,,,,,,,,,,,,,,ic_mon011,,,1
2318,圣诞男童变形术前置,2318,1,,,1,,,,AddEffect(2314),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2319,圣诞女童变形术前置,2319,1,,,1,,,,AddEffect(2315),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2320,圣诞老人变形术前置,2320,1,,,1,,,,AddEffect(2316),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2321,圣诞雪人变形术前置,2321,1,,,1,,,,AddEffect(2317),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2322,千里马徽记,2322,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,AddSpeedRate(0.15),,,,,,,,,,,,,,,,,,,,,ic_ride_001,,,
2323,帅气变身棒前置,2323,1,,,1,,,,AddEffect(2075),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2324,妩媚变身棒前置,2324,1,,,1,,,,AddEffect(2076),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2325,牛牛大侠变身棒前置,2325,1,,,1,,,,AddEffect(2222),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2326,牛牛侠女变身棒前置,2326,1,,,1,,,,AddEffect(2223),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2327,另类变身棒前置,2327,1,,,1,,,,AddEffect(2225),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2328,美女变身棒前置,2328,1,,,1,,,,AddEffect(2226),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2329,帅哥变身棒前置,2329,1,,,1,,,,AddEffect(2227),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2330,帅哥变身棒前置,2330,1,,,1,,,,AddEffect(2228),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2331,可爱变身棒前置,2331,1,,,1,,,,AddEffect(2229),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2332,美女变身棒前置,2332,1,,,1,,,,AddEffect(2230),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2333,可爱变身棒前置,2333,1,,,1,,,,AddEffect(2231),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2334,另类变身棒前置,2334,1,,,1,,,,AddEffect(2233),,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,500,1,,,,,,,,,,,,,,,,,,,1
2335,霹雳子昏迷效果,2335,1,7,,1,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,,4,,,,,,AddMove(-1);AddAtt(-1),,,,60*1000,1,,,,,,,,,,,,,eff_coma,,,ic_buff_coma,,,1
8000,驭兽,8000,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,7200000,1,,,,,,,,,,,,,,,,ic_ride_001,,,
2336,网吧免费加盟,2336,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,AddExpRate(0.2);AddNimbusRate(0.5),,,,0,1,,,,,,,,,,,,,,,,ic_pet_exp,,1,1
2337,网吧收费加盟,2336,2,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,AddExpRate(0.3);AddNimbusRate(1),,,,0,1,,,,,,,,,,,,,eff_korean_web,root,,ic_im009,,1,1
5000,变形术,2075,1,,,1,,,,ResetModel,,,,1,,,,,,,,,,,,,,,,,1,0,,,,,,,,SetModel(5177);AddAtt(1);AddRidable(1),,,,0,1,,,,,,,,,,,,,,,,ic_mon011,,,1
2400,保养丹(力量),2400,1,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,AddStr(EffParam2),,,,EffParam1*60*1000,1,,,,,,,,,,,,,,,,ic_it6236,,,0
2401,保养丹(敏捷),2401,1,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,AddDex(EffParam2),,,,EffParam1*60*1000,1,,,,,,,,,,,,,,,,ic_it6237,,,0
2402,保养丹(智力),2402,1,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,AddWis(EffParam2),,,,EffParam1*60*1000,1,,,,,,,,,,,,,,,,ic_it6238,,,0
2403,保养丹(体质),2403,1,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,AddCon(EffParam2),,,,EffParam1*60*1000,1,,,,,,,,,,,,,,,,ic_it6239,,,0
2404,保养丹(移速),2404,1,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,AddSpeedRate(EffParam2/100),,,,EffParam1*60*1000,1,,,,,,,,,,,,,,,,ic_it6240,,,0
2405,保养丹(万能),2405,1,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,AddMaxHp(500);AddStr(20);AddDex(20);AddWis(20);AddCon(20);,,,,EffParam1*60*1000,1,,,,,,,,,,,,,,,,ic_it6241,,,0
